gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0086566340762518,-0.0149457918997275,-0.0192654616102247,-0.024539938133166,-0.0308496352426978,-0.0354515356508154,-0.0387718148025139,-0.0428539819465761,-0.0489128940049291,-0.0566694054634006,-0.0632657340338278,-0.0685767024816738,-0.0735383799506344,-0.0799107085077012,-0.0858572591331697,-0.0885636582863741,-0.0920878767078116,-0.0971642890214511,-0.1026547422231187,-0.1098577963747491,-0.1181242932482866,-0.1254134423130577,-0.1303510849296331,-0.1356329421098741,-0.1418220506047988,-0.1467695417070844,-0.1534753170986356,-0.1608188658606699,-0.1651637479490197,-0.1707119980040492,-0.1768180470586514,-0.18226835313864,-0.1888486060618122,-0.1949204848976112,-0.2005509579448667,-0.2076165800112814,-0.214491769432459,-0.2190930187579549,-0.2230970144197487,-0.2283329827579824,-0.2345312201667665,-0.2396263996143457,-0.2447184423879499,-0.2504393885229149,-0.2566118080666981,-0.262763878258179,-0.2681604898255816,-0.2740694143457723,-0.2811366785383851,-0.2861322676848686,-0.2915874429849391,-0.3012629894034115,-0.3103966806903284,-0.3190424064996527,-0.3270576478361637,-0.3316831067627517,-0.3362766244749012,-0.3412688531681565,-0.3451257120621812,-0.3493986401498469,-0.3547447042179683,-0.3594840016327357,-0.3637549417750595,-0.3684480577184716,-0.3723766827171177,-0.3770061530065097,-0.3834124497575266,-0.3892772231084887,-0.3930166175770878,-0.3967308525415764,-0.4019499467848165,-0.4108304030832935,-0.4195869201636127,-0.4267685145584161,-0.4355486274839035,-0.4430056952496951,-0.4484439752270767,-0.4538045415786089,-0.4606652457923075,-0.4676414141047343,-0.4740544370619644,-0.4812636086254821,-0.4872327645658048,-0.4930753523515176,-0.4996561314436752,-0.5067463240800555,-0.5119941833781642,-0.5190892361381073,-0.5262388741245707,-0.5297986948408198,-0.5384052986806943,-0.5495059557420442,-0.557738742281553
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0086336985715002,-0.0148555015358097,-0.0191235208059962,-0.0243684578330041,-0.030643302347172,-0.0351809267034136,-0.0384610389557177,-0.0425196563032879,-0.0485819186002543,-0.0563193974085147,-0.0629030816564296,-0.0681958768214795,-0.0731308782882759,-0.0795034785336946,-0.0854183970267683,-0.0880913795832459,-0.0916141185944036,-0.0966900691760352,-0.1021804240316321,-0.1093800020037972,-0.117611689770739,-0.1248407037924244,-0.1297179632669849,-0.1349683341316288,-0.1411379766022482,-0.1460569165723109,-0.1527747037448363,-0.1600729193855584,-0.1644090001831073,-0.1699816707205111,-0.1760863059899793,-0.1815370173855015,-0.1881389558089476,-0.1942030052135125,-0.1998703571975119,-0.2069836925086302,-0.2138644812208576,-0.218473009475282,-0.2224638275635268,-0.2277440974802988,-0.2339810292384897,-0.2391023081146539,-0.2442235850528704,-0.2499695395713005,-0.2561495481825343,-0.2622906692807695,-0.2676362628832633,-0.2735195525451844,-0.2805763998742621,-0.2855311122206721,-0.2910302965252314,-0.3007416670885415,-0.3098542936510516,-0.3185141577523069,-0.3264884982876151,-0.3310872262877887,-0.335702713660397,-0.3407149855242135,-0.3445985920773745,-0.348910150129848,-0.3543232343867524,-0.3591251579739045,-0.363473746043785,-0.3682153399702656,-0.3722091625349506,-0.3769094236933377,-0.3833932033498447,-0.3892798794105953,-0.3930481362388879,-0.3968080138373057,-0.4021118982099704,-0.4110907751769448,-0.4198872506861099,-0.4271574431186412,-0.4360299603912904,-0.4434794507341983,-0.448945446942388,-0.4543026218199735,-0.4611735872816556,-0.4681385009022941,-0.4745800264838308,-0.4818047264263186,-0.487856274659447,-0.493778626955503,-0.5004322743235218,-0.5075929673668318,-0.5128927477080668,-0.5200864709866126,-0.5272524139776156,-0.5308487019522693,-0.5395502634591565,-0.5506742627306818,-0.5589455396505896
meanAnt,ssp245,CESM2-WACCM,WT,0.0,-0.0081840109803664,-0.0142032466770922,-0.018236336521943,-0.0232281092383948,-0.0292819751781887,-0.0336324740052189,-0.0366830182869301,-0.0405157267381845,-0.0463408011925873,-0.0538449820686676,-0.0602129347194822,-0.065265780032193,-0.0699652998412817,-0.0760567227521827,-0.0817351489344348,-0.0842235449522109,-0.0874594766101517,-0.09219747372454,-0.0973557592733632,-0.1041902140237807,-0.1121998334176729,-0.1192459586385965,-0.1239321735480992,-0.1289675154869878,-0.1349016219215705,-0.1396024475804769,-0.1460348948214058,-0.1530862876792987,-0.1571688549585757,-0.1624155380645835,-0.1681763134039533,-0.1733736073320718,-0.1795730466668605,-0.1853845182782164,-0.1907827907889806,-0.1976194543451588,-0.2042795105864586,-0.2086773099791921,-0.2124765535487042,-0.2174655022306384,-0.223367407944955,-0.2281766600839201,-0.2329396093137059,-0.2383609085859743,-0.2441664723426747,-0.2500136832689098,-0.2551832544170144,-0.2608769211195203,-0.2677419153686297,-0.2725429193888677,-0.2777969199836485,-0.2872587256095399,-0.2961668132038038,-0.3045682476569493,-0.3123382320536786,-0.3167366115829157,-0.3211477427108655,-0.3258968580443227,-0.3295286888327894,-0.3335908246631606,-0.3387527108305093,-0.3433173299726621,-0.3473906605202757,-0.3518854626428187,-0.3556171929226622,-0.3600315247113652,-0.3662032902119759,-0.3718470811377846,-0.3753818211064234,-0.3788906210965881,-0.3838797185335084,-0.3925136812286215,-0.4010907859403521,-0.4080925005287379,-0.4166753743158636,-0.423885693502034,-0.4290647933087632,-0.4341608460873385,-0.4406930901818532,-0.4473578416257046,-0.4534487433673897,-0.4603553223441251,-0.4660737621094428,-0.4716509748017949,-0.4779694718112373,-0.4847894378474623,-0.4898182783119134,-0.4966851948828061,-0.5036028342273288,-0.5069377619845237,-0.5152684278993935,-0.5261068582034799,-0.5340894376421468
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0039076408517721,-0.0100057653390034,-0.0166625775918624,-0.021266457681226,-0.0258006281425652,-0.0322616636655526,-0.0388239079268776,-0.0446302573728062,-0.0480640164711596,-0.0519318142315995,-0.0574177667802719,-0.063274278095159,-0.0699485304539015,-0.0762028118332074,-0.0834391416024289,-0.0912968019411633,-0.0972076480105869,-0.1035745018141275,-0.1100195134929757,-0.117125700848624,-0.1251812972897802,-0.1314688965807413,-0.1385452365152643,-0.1486675954673314,-0.1571898265091479,-0.1635529632351061,-0.1704493765622639,-0.1755714647317039,-0.182244788129924,-0.1903939589938323,-0.1951207964284647,-0.1984701920656541,-0.2032843536105295,-0.2060615049339955,-0.2071163518592726,-0.2094827007049226,-0.2147032842876673,-0.2214706832528398,-0.2245301832300595,-0.2260609561130005,-0.2296292328823532,-0.2338644838746509,-0.2390195979144498,-0.2461099894102694,-0.2518175373180426,-0.2541769417044901,-0.2594849054921478,-0.2641366801196501,-0.2666325839006555,-0.2707286276803497,-0.2748857947927933,-0.2789605290909916,-0.2819955791082629,-0.2860815224004608,-0.2926788672584598,-0.2978167982058199,-0.2993762186734169,-0.301178386144838,-0.3038601847828074,-0.3079421453718832,-0.3120937097001434,-0.3143188123461708,-0.3193063408147248,-0.3283687727759868,-0.3333419448097673,-0.3377799949228627,-0.3435501892043029,-0.3473157300962772,-0.352857491576348,-0.358534411932567,-0.3607049145351615,-0.3643546509930422,-0.3715936721259744,-0.3791925031008925,-0.3837996123363055,-0.3828572391338899,-0.3853618765474387,-0.3889235838721851,-0.394999084901185,-0.3993098946331706,-0.4050167061196865,-0.412803992024393,-0.4175744088379616,-0.4227678056406644,-0.4296138932979375,-0.4377781648154134,-0.445492380600419,-0.4494603561534738,-0.452810306864066,-0.4581795944229808,-0.4623337340335531,-0.4646405978141507,-0.468871355634547
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0038706571603527,-0.0099083286433572,-0.0164804958794323,-0.0209845262719417,-0.0254658266922874,-0.0318679177803105,-0.0383806501042916,-0.0441219225201505,-0.0475067383727719,-0.0513718700565017,-0.0568303359019858,-0.0626662008153583,-0.0692993063819825,-0.0754929974999329,-0.0827140742066461,-0.0905270832845325,-0.0964082271880588,-0.1027617628151174,-0.1091513428731049,-0.1162342108274097,-0.1242405239171408,-0.1305078799020213,-0.1375907549098629,-0.1477234803178679,-0.1562101935321567,-0.1625807086624672,-0.1694638715463464,-0.1745737571351789,-0.1812869025390639,-0.1894423040453973,-0.1941640674385291,-0.1975101894518255,-0.2023097585102043,-0.2050419356506535,-0.206061212612878,-0.2084327407018671,-0.2136775010974278,-0.2204585144629388,-0.2234943071689929,-0.2250282327491404,-0.2285801970033924,-0.2328000091508725,-0.2379120986203552,-0.2450334693276544,-0.2506944022370946,-0.2530491559460155,-0.2583407758429029,-0.2629410472229594,-0.2654560948919387,-0.2695578001848177,-0.2737057964560776,-0.2777819429802067,-0.2808051564865949,-0.2848304223657104,-0.2913912638939706,-0.2964670656981796,-0.297978720826263,-0.2997508007005294,-0.3024347237474373,-0.3065321938503855,-0.3106864705139404,-0.3129151953741484,-0.3179345244049212,-0.3269881919823592,-0.3318879848176801,-0.3363020154287907,-0.3420208453594561,-0.3457034565340055,-0.3511996799345649,-0.3567858695467686,-0.3589322445328896,-0.3625136821029285,-0.3697049730899592,-0.3772683580310135,-0.3818233011941345,-0.3808140993087821,-0.383238638163291,-0.386706964262912,-0.3926641779790294,-0.39689133270701,-0.4025414990949336,-0.4102498235975373,-0.4149251764484987,-0.4200663419977247,-0.4268531680577996,-0.434982097743803,-0.4426333448203708,-0.4465754566253421,-0.4499183899537045,-0.4552494794279168,-0.4593236872778229,-0.4615612201830745,-0.4657543699471714
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,-0.0034694374088391,-0.0092920322428375,-0.015696777523362,-0.0200982468026951,-0.024361745087192,-0.0305870097532769,-0.0368998220212808,-0.0424865998932516,-0.0457123292933992,-0.0493784305966523,-0.0546700004551923,-0.0603093264511874,-0.0667622160908189,-0.0727938336800384,-0.0798208276302275,-0.0874657725837528,-0.0931503757240787,-0.099284097541933,-0.1055023795388273,-0.1123741808151877,-0.1201884896783689,-0.126228455529978,-0.1330697708811804,-0.1429785512706585,-0.1512948286494826,-0.1574443774328749,-0.1641270307836939,-0.1690237464276061,-0.1754643497757217,-0.1833942958423093,-0.1879139255932513,-0.1910185275785331,-0.1955673273860242,-0.1981003111398653,-0.1989279277902432,-0.2010839112456866,-0.2060845040663716,-0.2126325906480992,-0.2154737825315304,-0.2167920794442172,-0.2201531990884988,-0.2241546093732787,-0.2290775087484671,-0.2359324807090991,-0.2414043136821924,-0.2435436815399156,-0.2486119393902265,-0.2530332947775129,-0.2552921014279898,-0.2591478510430389,-0.2630615961593984,-0.2669016875543896,-0.2697109909254495,-0.2735432567017799,-0.2799007492671116,-0.2848263034755472,-0.2861737752806542,-0.2877374626058662,-0.2902089837671662,-0.2940775898588818,-0.2980159763901793,-0.3000368319399532,-0.3047943164772759,-0.313626067015611,-0.3183315278828045,-0.3224892123630608,-0.3279776178380387,-0.3314519090117667,-0.3366924480055728,-0.3420726564494027,-0.3439935937018485,-0.3473235070698472,-0.3542302987073901,-0.3615446762064125,-0.3658735208140913,-0.3646748149875231,-0.3669005446657187,-0.3701251173468959,-0.3758693546892149,-0.3799063802486921,-0.3853718545403568,-0.3929104167844349,-0.3974406543670645,-0.4023520006582006,-0.4089263653636384,-0.4168195378688761,-0.4242822388839391,-0.4280277935971263,-0.4311477219109089,-0.4362765264365779,-0.4401352540980279,-0.442165137202457,-0.4461012276947347
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0086566340762518,-0.0150110518205047,-0.0187198564094982,-0.0234076740249474,-0.0297575058605537,-0.0342528467425088,-0.037090853925491,-0.0414185270155839,-0.0479177845408283,-0.0559398677952694,-0.062144532574116,-0.0666208195565679,-0.0715791170084775,-0.0780319247417733,-0.0841547506921205,-0.0867007215769889,-0.0905532113004154,-0.096146690195973,-0.1020055597740071,-0.1095351897518648,-0.117172155913248,-0.1236057985584458,-0.1275176447697011,-0.1329134134851503,-0.1394258176371528,-0.1445893189392838,-0.1515796367706629,-0.1593534228748479,-0.163751595724789,-0.1693600630001494,-0.1757123658196392,-0.1811962429136649,-0.1882163052949442,-0.1941817016629559,-0.1990363058668325,-0.2044038418550648,-0.2109378316755988,-0.2151754408096982,-0.2194310896876211,-0.2250576964954864,-0.2316514919267077,-0.2371261763715314,-0.2425958853300646,-0.2486262491655979,-0.2550844214850833,-0.2612562821410488,-0.2658653311325731,-0.2715092110908522,-0.2784048387742003,-0.2829683563155849,-0.2877490385606788,-0.2972215070483042,-0.3058487472739912,-0.3140421372145702,-0.3214908343056559,-0.3239196027695681,-0.3277274535758524,-0.3326616570338053,-0.3354678619557197,-0.3386277842400536,-0.3428556860717663,-0.3475616411897115,-0.3513234892888871,-0.3548263834809615,-0.3569957357921126,-0.3606866407335345,-0.3664830257200388,-0.3711570154399931,-0.3740712617631979,-0.3775468865768685,-0.3825068011036431,-0.3908782826841654,-0.3970917932466982,-0.4019742773118059,-0.40813376410497,-0.4125338995007141,-0.41560550749978,-0.41946359530418,-0.4254352167539542,-0.4318897185392359,-0.4380770802799636,-0.4446939321564061,-0.4486651134645097,-0.452647671516875,-0.4582125069903195,-0.4644675078592168,-0.4684955735278349,-0.473518878402267,-0.4789519906586237,-0.4817890760085427,-0.4892704503578919,-0.4994476444462341,-0.5058084826926192
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0086336985715002,-0.014927413176233,-0.0185580546887099,-0.0231865946409687,-0.0294814002077573,-0.0339001731321333,-0.0366872919596807,-0.0409589551149742,-0.0474405952622931,-0.0554428948671437,-0.06160535669706,-0.0660373513877308,-0.0709420780215784,-0.0773642718471301,-0.0834244353071366,-0.0859216854071533,-0.0897515165923586,-0.0953054831735899,-0.1011593320391961,-0.1086995617632148,-0.116270310016271,-0.1226234274417278,-0.1264667148990228,-0.1318321272608731,-0.1383261401591381,-0.1434531374201735,-0.1504623831926456,-0.1582187672805039,-0.1626261548325202,-0.1682457841284259,-0.1745927108831442,-0.1800662511758151,-0.1871075304768784,-0.19305480407328,-0.1978704083594064,-0.203206574939392,-0.2097192041685401,-0.2139830685559474,-0.218252519429218,-0.2239108921820561,-0.2305420263796005,-0.2360577723748784,-0.2415959070406153,-0.2476766822682307,-0.2541958901185334,-0.2604248127489068,-0.2650342793951362,-0.2707121418812976,-0.2776286013057095,-0.2822010643343888,-0.2870956303230951,-0.296642029268218,-0.3053246375220025,-0.3136167097956603,-0.3211442170470409,-0.3236149335401088,-0.3274890583194155,-0.33249014091681,-0.3353436682648316,-0.3385122696336007,-0.3427654101444758,-0.347483119305757,-0.3512987689597485,-0.354838127165579,-0.3570450125057787,-0.3607403837848814,-0.3665758835346637,-0.3712324334606627,-0.3741834207138265,-0.3777279257960514,-0.3827702489912477,-0.3912505575803454,-0.397428716994869,-0.402297437601752,-0.4084359944784312,-0.4128052294644669,-0.4158325570658133,-0.4196259290817723,-0.4255296779274911,-0.4319514170775213,-0.4381041989022708,-0.444700327408768,-0.4485831763176005,-0.4524702197175276,-0.4579016838109299,-0.4640772305242539,-0.4680102457272346,-0.47291817495291,-0.4782339732139555,-0.4809959959266469,-0.4884413366475852,-0.4986190563786228,-0.5049506841678189
PIG5,ssp245,CESM2-WACCM,WT,0.0,-0.0081840109803664,-0.0142266614255777,-0.0176541612907642,-0.0220538650795199,-0.0281252013880624,-0.0323727633805008,-0.0349577720935983,-0.039051058389638,-0.0452782223295444,-0.0530316341055986,-0.0590312954366422,-0.0632836954971554,-0.0679984614569244,-0.0741383841809787,-0.0799287071509173,-0.0822254638631627,-0.0857023042159605,-0.0908323253628076,-0.0962501961477398,-0.1033007283871263,-0.1106585518802628,-0.1168616115659669,-0.1205609917221878,-0.1257713891695637,-0.1320729853930484,-0.1369797919594784,-0.1436761425954182,-0.1511119534290068,-0.1552639548007838,-0.1605249602768855,-0.1664632738587511,-0.1717069664409425,-0.1782494247246868,-0.1838287458836102,-0.1884141479012091,-0.1935071682432414,-0.1998630110588279,-0.2039327205550337,-0.2079662128195428,-0.2132978813200264,-0.2194969767201205,-0.2245394095541675,-0.2295157480639491,-0.2350492648247667,-0.2409629200240114,-0.2467365949607205,-0.2510406604728998,-0.2564543013467868,-0.2631046711801164,-0.2674275231439271,-0.2720094316635931,-0.281225849331823,-0.289615086224626,-0.2975216398878271,-0.3046954238246163,-0.3068750182357058,-0.3104279138905199,-0.3150166777363076,-0.3175376498393649,-0.3203659591830131,-0.324221758544096,-0.3285227798658371,-0.3318895305266889,-0.335102850785629,-0.3369989608851859,-0.3404040731189992,-0.3459191999782621,-0.3503397665009666,-0.3530613941802267,-0.3563278754370917,-0.3609831736908474,-0.3689019821636987,-0.3748281019621058,-0.3794377416577948,-0.3852937589930177,-0.3893852462382071,-0.392190793205156,-0.395765985275356,-0.4014156809164084,-0.407516961835933,-0.4132778493914592,-0.4194582291696106,-0.4229692988746383,-0.4265570369010042,-0.4316743505161326,-0.4374783306133453,-0.4410816667252596,-0.4455697714859978,-0.4505031806571625,-0.4528930046344228,-0.4599279619511471,-0.4696660119547821,-0.4755234360502253
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0039076408517721,-0.0100331512635784,-0.0165238777838578,-0.0208483919471868,-0.0250785149038925,-0.0316436294263989,-0.0382975659552088,-0.0440635404126422,-0.0475502341529765,-0.0515157720334127,-0.0569232350901976,-0.062811825408251,-0.0695672604266955,-0.0759672965600184,-0.0831917904276413,-0.0911344300293722,-0.0971954476849513,-0.1036454185120602,-0.1102000148023684,-0.1174014101886302,-0.1255800278444221,-0.13200855000077,-0.1392312089367637,-0.149363946871092,-0.1579315491474301,-0.1642707471769029,-0.1710204008702146,-0.1760594489798073,-0.1826946118625916,-0.1906290051710832,-0.1949586515416358,-0.1953627424673616,-0.1929053281243234,-0.184741551274209,-0.1823874232167295,-0.1843795229043215,-0.1892751722013241,-0.1957257596188143,-0.1970865550642489,-0.1976051320999548,-0.2009279374400505,-0.204598148904257,-0.2095206339354353,-0.2161751820786565,-0.2214983645826803,-0.2229625069910364,-0.2279857768205757,-0.2324384783989755,-0.2346088051975523,-0.2384230661938686,-0.2420451570555306,-0.2459041356503177,-0.2487082672391961,-0.2524308176437018,-0.2587317501379615,-0.2634236636920071,-0.2646139943214397,-0.2661104342842404,-0.2684342390062556,-0.2722678005092477,-0.2761715127237374,-0.2780722438680776,-0.2826858603491842,-0.2914300495565771,-0.2934141063656093,-0.2967928791466619,-0.3021676249558311,-0.3056299473682682,-0.3107307189994304,-0.3160823806925572,-0.3180691018338654,-0.3213332010725249,-0.3281489768168694,-0.3351864421141556,-0.3350930049951277,-0.3154994741857285,-0.3177434030384293,-0.3207815002094146,-0.32629190655209,-0.3301871888766092,-0.335436646618739,-0.3428157209528677,-0.3472145715182818,-0.3519360216779089,-0.3582634545634743,-0.3659100650277582,-0.3732865162793999,-0.3770590221591621,-0.3794505794601841,-0.3842349988416232,-0.3876403193104561,-0.389245188583055,-0.3927819681513211
