gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0007176602126421,-0.0011757532732107,-0.001858242931186,-0.0023968327644449,-0.0026084710339156,-0.0029997271450397,-0.0035164207787921,-0.0039917980703617,-0.0045389155566894,-0.0048910521132927,-0.0052273266321044,-0.0058794898402091,-0.0067458638089116,-0.0073876320636629,-0.0082100142451606,-0.0092741766504305,-0.0102771147441414,-0.0113186477691594,-0.0122988761402794,-0.0131981627321153,-0.0143638734908084,-0.015336313000841,-0.0163390895974449,-0.0175021730948831,-0.0186863247393727,-0.0199690334596863,-0.0210891655339755,-0.0219961906519017,-0.0231218662140907,-0.0242714626847795,-0.0252540023838377,-0.0264118479078698,-0.0274632015489143,-0.0289334017050083,-0.0304900834164862,-0.0316669559879484,-0.0325687414847955,-0.033579549493828,-0.0343584150843026,-0.0349280053269724,-0.0357542902936639,-0.0365524767533579,-0.037276649194623,-0.0381030066527113,-0.0390823821217792,-0.0401259142434391,-0.0408330676155116,-0.041592844081642,-0.0421496778689492,-0.0429187360646003,-0.0438155998573084,-0.0446296477118532,-0.0456828666924109,-0.0465585907480645,-0.0476000566015301,-0.0484270982784148,-0.0493033006136163,-0.050268869777937,-0.0513240854640503,-0.0522487485172294,-0.0530169362185948,-0.0538053348313912,-0.0547364441863769,-0.0557768082361067,-0.0568918975829472,-0.0580462317608719,-0.0591128450026677,-0.0600923894243363,-0.0610364344611792,-0.0620845848181819,-0.0635867015477892,-0.0650422164303151,-0.0660815204985141,-0.0670520725045049,-0.067930424816852,-0.0692201856981481,-0.0705966396434026,-0.0715030862211469,-0.0725074263470463,-0.0735173870876538,-0.0746602418174377,-0.0759935338411065,-0.0772925006193625,-0.0784984241238567,-0.0794491509291268,-0.0804117405025312,-0.0814858804631425,-0.0827748553032357,-0.0842823158091486,-0.0859416356453344,-0.0871590359660096,-0.0884744103398328,-0.0898119094701422
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0010058931823175,-0.0019426623810112,-0.0028452237887154,-0.0036807492196165,-0.0043769713467921,-0.0051488105353632,-0.0061530104560332,-0.0071870355533957,-0.0082178391950012,-0.0090918027286662,-0.0096851419687958,-0.0107765923993296,-0.01190784381347,-0.0131967473417362,-0.0143532265682853,-0.0159037312160549,-0.0173726840314095,-0.0189032996746842,-0.020435793040386,-0.0219453945741018,-0.0235011533340255,-0.0248571274492288,-0.0265763144052668,-0.0281894013611796,-0.0298091306944828,-0.0315133528630348,-0.0331293268643052,-0.0344904084696283,-0.036172143459317,-0.0379731906259711,-0.039586032633596,-0.041206011702361,-0.0426879365260959,-0.0447520371439123,-0.0467297686721451,-0.0484124696882975,-0.0500758451135391,-0.0515591655373185,-0.052817851817899,-0.0539767289419828,-0.0554319048136042,-0.0568257970919696,-0.0581969024839436,-0.05963576059059,-0.0611415046064671,-0.0627640203127627,-0.0640601069765716,-0.0652535836201343,-0.0665004888999163,-0.0678724905850189,-0.0692913142569699,-0.0705575611145289,-0.0721178842633569,-0.0735375454937541,-0.0750486619456896,-0.0764522610295563,-0.0778323932567658,-0.0792868780990602,-0.0808762832866299,-0.0822872085912319,-0.0834756646360384,-0.084804273852782,-0.0861702874483488,-0.0876359113682762,-0.0892209068971127,-0.0908906715611987,-0.0924768083011485,-0.0940391048900995,-0.0955324516368022,-0.0970404815162297,-0.0990906811225521,-0.1009620736819597,-0.1024816365983579,-0.1039427784647161,-0.1053143641607759,-0.1070598947771007,-0.108928837760827,-0.1102708774471376,-0.1116618466355084,-0.1131256352807905,-0.1147859617160755,-0.1165588233796447,-0.1183265176487222,-0.1200405093824745,-0.1215268432591986,-0.1229248316806572,-0.124410325983735,-0.1261948849932603,-0.1281495236006851,-0.1302907934956634,-0.1320865879900309,-0.1339088429586588,-0.1356603702204141
meanAnt,ssp245,CESM2-WACCM,WT,0.0,0.0012559502532685,0.0022845276244053,0.0026326580060529,0.0027606213137919,0.0027802001285645,0.0034734839107474,0.0039736998580287,0.0044011535630508,0.0050266174665627,0.0054672332965306,0.0059135972241364,0.0064374033896374,0.0065903941526646,0.0063759907052606,0.0063361777559722,0.0059712691043961,0.005492545221005,0.0049304021909335,0.0043878192567457,0.0039372689252695,0.003262377458817,0.0026662470373805,0.00211067287861,0.0014323538561502,0.0007844325385158,3.688869052035219e-05,-0.0005920873778436,-0.001161942226628,-0.0019088776558329,-0.002846155530175,-0.0036424271857202,-0.0044962414763079,-0.0054536255032358,-0.0066184863865221,-0.0076219745670472,-0.0083465008498441,-0.0091224528393206,-0.0097887055279191,-0.0103050599437557,-0.010564190226802,-0.0110284587068105,-0.0114700672515148,-0.0119242190199056,-0.0124561948624324,-0.0132539009132293,-0.0139887356619195,-0.014285335759644,-0.0145509560279464,-0.0149197953475798,-0.0153210224706665,-0.0158020966679171,-0.0159743775740447,-0.0166007157771584,-0.017137151041027,-0.0177880255322926,-0.0183097429141118,-0.0188906620934697,-0.0196214405208739,-0.0203475191553683,-0.0208946690233178,-0.0213837396105842,-0.0220141810377739,-0.0226925987283555,-0.0234846841360585,-0.0243605214491709,-0.025219822869107,-0.0260795531704867,-0.0269092138603171,-0.027780627728954,-0.0286270408269659,-0.029904522476627,-0.0309602663789607,-0.0316827179873287,-0.0324180918504857,-0.0329038189728735,-0.0339488316760604,-0.0350164508245379,-0.035664293664845,-0.0362937607272887,-0.0367889451840032,-0.0376172524126218,-0.0387197090972606,-0.0399065550786858,-0.0408624896509568,-0.0416487568923428,-0.042318249480455,-0.0431843836191548,-0.0442551828740363,-0.045428804583415,-0.0467681914804849,-0.0478088859648914,-0.0488839026760147,-0.0499854889557564
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0005802950052613,-0.0007047888308755,-0.0009290882506718,-0.0013464058780389,-0.0018344804424087,-0.0023959861701314,-0.0030151843880775,-0.0037736878846432,-0.0045132462248847,-0.0051248979755694,-0.0058004582904466,-0.0065466865907668,-0.0073623908326999,-0.0082074932861704,-0.0090341350813102,-0.009776139605633,-0.0104666961459577,-0.0112261230717003,-0.0118889935761003,-0.0127208419566767,-0.0134039070947129,-0.0141856141250334,-0.015204233427772,-0.0161311451534532,-0.0171309417298533,-0.0181297040365078,-0.0190959762470488,-0.0201075984881186,-0.0212555185775304,-0.022489419519443,-0.0234593405849131,-0.024607500922153,-0.0257012065669161,-0.0268911156566531,-0.0282008438231394,-0.0295916153766396,-0.0310586428255863,-0.0326504025620854,-0.0341577154996919,-0.035925431938836,-0.0377073062083808,-0.0394882873129537,-0.0411585404133274,-0.042943862288782,-0.0446337917674973,-0.0463077908331278,-0.0478760781264736,-0.0493462469315367,-0.0507406090046682,-0.0521413090255502,-0.0534820720394694,-0.0550959282473862,-0.0566100141645996,-0.0580555748007384,-0.059436931117574,-0.0610207633284853,-0.0626876349119364,-0.0641026377525223,-0.0654523530937076,-0.0669363139466606,-0.068387688455648,-0.069699216043968,-0.0711316451979597,-0.0725223344796881,-0.073727908762411,-0.0749053857482331,-0.0761695977227102,-0.0775080396367873,-0.0788083507655303,-0.0801362631056992,-0.0813560682071013,-0.0826123329709295,-0.0836998343148417,-0.0848663651673037,-0.0860844067105957,-0.0874216463283124,-0.0888394562818941,-0.090110129771931,-0.0912565421501044,-0.0924512508041696,-0.0935043011332772,-0.0945973832893137,-0.0958427093402897,-0.0972009422720572,-0.0985279794156309,-0.0998138862659624,-0.1008620358348887,-0.1019480455351551,-0.1030894396534049,-0.1042501164592321,-0.1055627818150133,-0.1068241397875364,-0.1079941672346596
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0008684546743808,-0.0012621735659459,-0.0018867680665107,-0.0027114166191651,-0.0036151698350305,-0.0046006737512002,-0.0057038748145969,-0.0068903850248945,-0.0079396543080971,-0.009137275114556,-0.0102960036753961,-0.0116398873274806,-0.0129660002217582,-0.0142693595049541,-0.0155735575210169,-0.0169161244819329,-0.0181489464469633,-0.0194449000044293,-0.0207386917804264,-0.0219516134760417,-0.0229568549905603,-0.0241009923159607,-0.0253499000369112,-0.0262775753605901,-0.0274481181022204,-0.029135551483282,-0.0308553074345869,-0.0327008108535089,-0.034601475897068,-0.0365267322804495,-0.0383145870622218,-0.0400854940708862,-0.0418978484234004,-0.0436947995609088,-0.0452475570815612,-0.0471104046829599,-0.0489153464154119,-0.0509306428981514,-0.0528669885777718,-0.0550658704990104,-0.0573583423062469,-0.059671763025435,-0.0619212345358939,-0.064199203316149,-0.066423291948204,-0.0684952849725709,-0.0704505523923541,-0.0724444822531144,-0.0743598351821972,-0.0763224445232402,-0.0782403513684007,-0.0804163586318213,-0.0823727360528002,-0.0842894641482549,-0.0862507215092276,-0.0884054869360173,-0.0904180784110591,-0.0923791508278778,-0.0942058336460724,-0.0961831055709934,-0.0981439099332413,-0.1000748719217736,-0.1019357801809993,-0.1039475292549246,-0.1057284445947601,-0.1076041285609231,-0.1094528776403672,-0.1113886509458358,-0.1133414884752491,-0.1153500031620933,-0.1170623172573126,-0.1189716663957929,-0.1208345539191422,-0.1225627118163985,-0.1243391385151564,-0.1261831789597131,-0.1281468204634595,-0.1299942493825903,-0.131827179199624,-0.133557098097552,-0.1352696346743142,-0.1370728247588574,-0.1387309363398211,-0.1403126749963744,-0.1419694097595577,-0.1436338398522448,-0.1452114998799253,-0.1468476781802168,-0.1484471569654456,-0.1500941347970605,-0.151769699555913,-0.1534343825700689,-0.1549610472568249
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,0.0013927103536141,0.0025840268765314,0.0031398358394168,0.0036422986376898,0.0043026727299357,0.0047732652699269,0.0050110956389409,0.0054828405595539,0.0061521207085566,0.0064456258488366,0.0062827217051464,0.0061097383105948,0.005874462869696,0.0058576887940009,0.0057680161448784,0.0056246570395781,0.0054088358691737,0.0051179178144366,0.0050992294966234,0.0050096453948544,0.0049726347722823,0.0048585080449525,0.0046415857397823,0.0044212398528503,0.0039957157827878,0.0036485810047402,0.0033046291749247,0.0030074204744678,0.0025420549130203,0.0019446434252925,0.0013765202624452,0.0007207570701524,2.638505379881577e-05,-0.0006839636696487,-0.0014543672362986,-0.0023176251107952,-0.0032208703182811,-0.0042779543559141,-0.0053263880788216,-0.00663777014527,-0.008063462690253,-0.0093867691682902,-0.0108707517651373,-0.0122271926706048,-0.0134495889686468,-0.0147507287519835,-0.0158519280272335,-0.0167893515401309,-0.0178146576738128,-0.0187504550063613,-0.0196023026233008,-0.0207246386118731,-0.0218422372701193,-0.0227921770951991,-0.023743491363513,-0.0248464507305238,-0.0261100236303751,-0.0272114242840041,-0.0281805593222653,-0.0293441861193447,-0.0306590882711752,-0.0319859718305511,-0.033177915897247,-0.0343887445419016,-0.0354541086871986,-0.0362690838209633,-0.0372028886653074,-0.0384300212563642,-0.0395374464914263,-0.0405322513208589,-0.0414538009955321,-0.0424812834551546,-0.043477180406606,-0.0445063996313746,-0.0456100187229567,-0.0468112699623176,-0.0480047963246818,-0.0491168482235328,-0.0501555745957823,-0.051281347461309,-0.0522108404906411,-0.0530794812333576,-0.0539592316701339,-0.0547861876870341,-0.0556225540501136,-0.0565082795652974,-0.0573744397892244,-0.0581231671497041,-0.0589402563212853,-0.0598655981356691,-0.0608168389555656,-0.0617011760449459,-0.0624011668295696
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0007176602126421,-0.001200197300696,-0.0018703186197591,-0.0024465626828271,-0.002918357142933,-0.0034209328495093,-0.0040583745805128,-0.004612080246461,-0.0052320858999557,-0.0058527240752347,-0.0062526400739341,-0.0070955190776113,-0.0083547184430967,-0.0092712903442701,-0.0102239011584118,-0.0114013960104042,-0.0123635426690255,-0.0133382240518359,-0.0142201743483658,-0.0152907025137744,-0.016429188258535,-0.0174856054584301,-0.0186504284215145,-0.0196508746342519,-0.0205969528630589,-0.0218420646226744,-0.023187500748351,-0.0241807313413345,-0.0254684662385897,-0.0269826484127993,-0.0282713461873925,-0.0295056910427736,-0.0307725076925253,-0.0322290925106533,-0.033878805874137,-0.0350786428792139,-0.0361143604241045,-0.0371648982286111,-0.0380942395102631,-0.038699749026375,-0.0394741060006524,-0.0403389968633423,-0.0410111722907323,-0.0419097711039793,-0.042923598334836,-0.0440055350460941,-0.0448039452624522,-0.0454903774883435,-0.0461411385189044,-0.0472087942125331,-0.0483436659589171,-0.0491708645253981,-0.0503246085664721,-0.0513324398271804,-0.0522596528838696,-0.0532119162662186,-0.0540568284783112,-0.054987680782617,-0.0559594621303769,-0.0568298856613827,-0.0573635899010371,-0.0582294331687448,-0.0591736315574593,-0.0601730414409198,-0.0615385942874235,-0.0627992420373718,-0.0638565698269093,-0.0648586089132169,-0.0659145212785322,-0.0671240815774045,-0.0686216677382987,-0.0699557449784361,-0.0710098531287966,-0.0719976458040727,-0.0728541500879682,-0.0740639314786135,-0.0753267145043879,-0.0761527196014173,-0.0769554319119367,-0.0778686500530532,-0.0790552478147587,-0.0803282693055112,-0.081724005168152,-0.0829099331980906,-0.0838973902753764,-0.0848573213931797,-0.0860159294743107,-0.0873241461407286,-0.0887986336460612,-0.0905070355384668,-0.0918286598753219,-0.0933268775643722,-0.0949062706974756
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0010058931823175,-0.0020572714790691,-0.0031954223600667,-0.0042377740133299,-0.0051560914849951,-0.0060955879338744,-0.007161204172643,-0.0081884046840332,-0.0092064987117743,-0.0102027502644781,-0.0111253613218419,-0.0122965341002467,-0.0139481061638601,-0.0153660857090697,-0.0167147302958926,-0.0183764684790833,-0.0199346449269818,-0.0214955428332913,-0.0230317473836055,-0.0246021415501883,-0.0262602143201784,-0.0276748501463503,-0.0292323602082737,-0.0305929799275914,-0.0320302866659521,-0.0337706826408696,-0.0355728618832519,-0.0369220402519363,-0.0386631155971625,-0.0404748523862443,-0.0420960809450422,-0.0436455944309942,-0.0454204715312202,-0.0476493301578868,-0.0497345646326223,-0.0515471511173971,-0.0533021774431942,-0.0550317167557083,-0.0564985114868636,-0.0577125283501874,-0.0592177827799687,-0.0606842433337014,-0.0619975097756616,-0.0634431928968889,-0.0650323255699626,-0.0664655288160253,-0.0677049286832603,-0.068813961754374,-0.0700500649007322,-0.0715256660072353,-0.0731432853321656,-0.0745496920655109,-0.0762035709891039,-0.0777415020942266,-0.0792101126180508,-0.0806191713739808,-0.0820851681892973,-0.0837313893364832,-0.0852758430658823,-0.0866874124042019,-0.0878447064008727,-0.0891819517761927,-0.0906318307825384,-0.0923010948826555,-0.0942015172037856,-0.0960419421282033,-0.0976437798260708,-0.09927457029631,-0.1008408981778103,-0.102533158228318,-0.1045624916616261,-0.1063725034727403,-0.1078495155873112,-0.1094167208777886,-0.1107926158717052,-0.1125673705313343,-0.1143342364088764,-0.115605688303584,-0.116855718069319,-0.1182213680103827,-0.1198039400097951,-0.121538963943612,-0.1233487127909163,-0.1249943088608826,-0.1264369658925558,-0.1277123319211168,-0.1291325614525537,-0.1308699743696166,-0.1328296401487653,-0.1350107051708186,-0.1368532772356536,-0.1388192463151083,-0.1409298238739131
PIG5,ssp245,CESM2-WACCM,WT,0.0,0.0012559502532685,0.0023309120559022,0.0026197906439119,0.0026318281483357,0.0027358296952402,0.0034339324532463,0.0038122804759382,0.0043906533934699,0.0050182078415567,0.0052994409806113,0.0057421459464262,0.0058489876251059,0.0054764899199404,0.0051885236493184,0.004975403684989,0.0045002883216473,0.0040147398005794,0.0034475802784885,0.00299851084664,0.0022884446161431,0.0016304023955587,0.0010233888492664,0.0003468472345002,-0.0001828790971673,-0.0007781162387661,-0.001470752579523,-0.0024841082363082,-0.0033642899429098,-0.0045019331459979,-0.0058160743631858,-0.0068226059001521,-0.0077195192467906,-0.0085655787325515,-0.0097551499313824,-0.0111094116060716,-0.0120417675222641,-0.0127338958208746,-0.0135487147344394,-0.0143437699664299,-0.0149109609203709,-0.0156335174668973,-0.016326266109482,-0.0169330774017802,-0.0174965374289976,-0.0182129060049443,-0.0189163978252328,-0.0193088844836625,-0.019712968826266,-0.020042825217909,-0.0207556955665322,-0.0215644686091213,-0.02205158691442,-0.0226013302039651,-0.0230411665287044,-0.0234447124623405,-0.0239575737151056,-0.0244370390156692,-0.025156245379901,-0.0259382926872729,-0.0265995832062477,-0.0269530295092349,-0.0275786679666407,-0.0282167404866965,-0.0289236606466025,-0.0298128646260529,-0.0307476374508106,-0.0313697880178252,-0.0321796494757065,-0.0330257888398123,-0.033945442869229,-0.0351327270688441,-0.036177745713193,-0.0370289001275214,-0.0378080990595883,-0.0384167299963012,-0.0393521507299643,-0.0402924807598877,-0.0406560050503677,-0.041204696964749,-0.0420906277025684,-0.0431617501694491,-0.0441919392433014,-0.0452719790044487,-0.0461565297930668,-0.0468764283581148,-0.0475020001762931,-0.0483102708030811,-0.0493355908202756,-0.0505005251286184,-0.0519941972076263,-0.0531620821149303,-0.0543213870082599,-0.0555498463458131
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0005802950052613,-0.0006878376832208,-0.0008840773983575,-0.0013714343523129,-0.0019576334308948,-0.0026139235673703,-0.0033435642824824,-0.004179620274526,-0.0050867670560453,-0.0058243483520953,-0.0067526533189147,-0.0076187426148304,-0.0086037598703625,-0.0096619978339835,-0.0107793007795381,-0.0118435736980872,-0.0126473611370677,-0.0135819618297632,-0.0143988529724166,-0.0154227564887406,-0.0164438962103398,-0.0175085845765015,-0.0186309445707467,-0.0195717103323834,-0.0206834735725399,-0.0217715827560984,-0.0229988817700402,-0.0242180228566368,-0.0255432630359776,-0.0267284912372447,-0.0280088751348163,-0.0292836681576079,-0.0305400772253443,-0.0319476182301096,-0.0334098196163033,-0.0349083781478879,-0.0363319647546508,-0.037754183409012,-0.0391833442300853,-0.0406896685189086,-0.0421856324681572,-0.0437089675800833,-0.0452504440723889,-0.0468238777690742,-0.0486370757113026,-0.0504433379824272,-0.0518223844198515,-0.0534498589815021,-0.0550804185932446,-0.0568070342796723,-0.0582889128502007,-0.0600019243051708,-0.0614655278075756,-0.0628817522554108,-0.0643376672620219,-0.0659968789488689,-0.0674563081514739,-0.0689040300470276,-0.0702106528861038,-0.0716510346332693,-0.0731153004047074,-0.0745243629332914,-0.0759620457428924,-0.0773861737982042,-0.0785529102855307,-0.0796637411845788,-0.0808686577657701,-0.0821281281782815,-0.083305655594371,-0.0844942583218558,-0.0856029960975619,-0.0868782618591132,-0.0880488595354966,-0.0891913644751369,-0.0903611365965326,-0.0915062009316464,-0.0925844996133577,-0.0935314261135291,-0.0947465350290377,-0.0959486452363366,-0.0971048603395028,-0.0983026410554941,-0.0994128818768774,-0.1006554382441776,-0.1019582615688948,-0.1033075867896303,-0.1045433309354588,-0.1056415330762551,-0.1067894199316458,-0.1079754990459163,-0.1091016095182244,-0.1102882738758252,-0.1113158921098256
