gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0019446201221488,-0.0040352164609486,-0.0051626357731607,-0.0067424978787626,-0.0087882568103969,-0.0105291522538422,-0.011937692803617,-0.0137053046716918,-0.016672294700591,-0.0201230793376961,-0.0230716154378942,-0.0242528842958347,-0.0251062735825058,-0.0263505180346094,-0.0273402244321952,-0.0279236424977401,-0.0287334853733286,-0.0304848727381039,-0.0322795209254259,-0.0338851643912852,-0.0355242113896699,-0.0375031595512362,-0.0395068050230174,-0.0417080180870896,-0.0438073868263423,-0.0453658120878415,-0.0469780933090441,-0.0488102422677443,-0.0499225571188497,-0.0502634304351598,-0.0513094135138684,-0.0521215012695039,-0.05338503542354,-0.0543458930092656,-0.0542471022147315,-0.0558137471818277,-0.0580950992366272,-0.0598176878847657,-0.0625360697152893,-0.0651556771393003,-0.0668674119127801,-0.0679542793002299,-0.0690473397690104,-0.0698538986182719,-0.0704033241268188,-0.0717235735708103,-0.0730622614402339,-0.0754626528415362,-0.0779292569129338,-0.0794809924828287,-0.0811681421466385,-0.083818363471646,-0.0862988992179755,-0.0889126604982709,-0.0923633864656373,-0.0940485705196631,-0.0954762523861887,-0.0977499381592122,-0.0991202784427684,-0.0993320795784103,-0.100961383824094,-0.1034625750821561,-0.106135896006663,-0.1092307876343134,-0.1113839655875659,-0.1138875099659476,-0.1174181457628952,-0.1205966922911229,-0.122638942255071,-0.1239898215658539,-0.1258200895517384,-0.1283597213899115,-0.130760901906822,-0.1336899389130997,-0.1365017562774859,-0.1390764971007251,-0.141477581380509,-0.1434212285371023,-0.1455257368456837,-0.1473250641378493,-0.1500838681237197,-0.1534192095163625,-0.1554069410267533,-0.1575311281853624,-0.1604314888016474,-0.1638856117544309,-0.166931352340655,-0.1695416971104166,-0.1713564930294114,-0.1722276777363713,-0.1743343200334076,-0.1786866107553821,-0.1831777365265112
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0027795755849414,-0.0046018204888496,-0.0059216135756788,-0.0079229583375598,-0.0099141283122042,-0.0118304246137003,-0.0133785230962998,-0.0154519271515933,-0.0187446684588586,-0.0228149764568432,-0.0261453583013561,-0.0276452110250059,-0.0287352157431982,-0.0303293331667103,-0.0317670394640905,-0.0326806792790181,-0.0338708371160143,-0.0357143501586755,-0.037894190966314,-0.0400604743917756,-0.0419996151355881,-0.0443783783849277,-0.0466593347295909,-0.049241706751405,-0.0517981799096425,-0.0537176627277382,-0.0557765014599455,-0.0580326222604955,-0.0594753615964869,-0.0603754427529923,-0.0618077730487838,-0.0630219432744716,-0.0646675795742621,-0.0660075825250686,-0.0663036705627099,-0.0683243425063837,-0.0710468182784037,-0.0731937709046454,-0.0763206810522875,-0.0793253316887952,-0.0814436358368322,-0.0829493803254114,-0.084525683036073,-0.0856973266644649,-0.0866320886527239,-0.0883235191968655,-0.0900642490462198,-0.0928830902374644,-0.0957554936899501,-0.0977214551522351,-0.0998170273276466,-0.1028484378964774,-0.1057138255035564,-0.1087509611383584,-0.1125778252661715,-0.1146228065825719,-0.1163870680977868,-0.1190486366908627,-0.1207606074544203,-0.1213283573137121,-0.1233337999316221,-0.1261801564470499,-0.1291339962416762,-0.1326801593954478,-0.1351823219825597,-0.1379328696986065,-0.1418529926281878,-0.1454470925463234,-0.1478770927149195,-0.1495882593395081,-0.1517472530766831,-0.1546004277493874,-0.1573682594276783,-0.1606361633997427,-0.1637738017890863,-0.1666517217455147,-0.1694236628262848,-0.1716938754051533,-0.1741288847964215,-0.1762453366971438,-0.17938934724618,-0.1830039483545182,-0.185310205692643,-0.1877552965828703,-0.1910303137641248,-0.1947930344088072,-0.1981383235371092,-0.2010523854302531,-0.2031593093720056,-0.2042988335117901,-0.2067805870056023,-0.2114416716055756,-0.2162231894956402
meanAnt,ssp245,CESM2-WACCM,WT,0.0,-0.0022581690960138,-0.0039075275918013,-0.0050001359089656,-0.0067358162505465,-0.0083403911073417,-0.0100684885613017,-0.0112073774698581,-0.0127688170551919,-0.0156317778457743,-0.0189230173302248,-0.0216921535662056,-0.0225941628285317,-0.0232676649555139,-0.0243376638411398,-0.0251098156209996,-0.025524541363852,-0.0261536465751488,-0.0274277406070037,-0.0292676132117202,-0.0306350690004579,-0.0320002019774622,-0.0337861498626583,-0.0354559333785683,-0.0374372887604146,-0.0393723231598792,-0.0407291638943686,-0.0421561958006785,-0.0438223491951406,-0.0447547900705576,-0.0449619436321449,-0.0458467905325419,-0.0465301598377378,-0.047623162845302,-0.0484060886108464,-0.0481462945224204,-0.0495417144514267,-0.0516565776752866,-0.053223522400248,-0.0557873421497493,-0.058296979179655,-0.0598959539403249,-0.060851429394247,-0.0618315890886018,-0.0625045668776687,-0.0629260050779543,-0.0641156194673677,-0.0653247031152657,-0.0675943069958127,-0.0699343857397309,-0.0713581188318863,-0.0729185732889851,-0.0754404438767787,-0.077794849316594,-0.0802854435729712,-0.0836200304767876,-0.0851994231966273,-0.0864886958723339,-0.0887282238581052,-0.0899897360349638,-0.0901021511317768,-0.0916804181294349,-0.0940948170736639,-0.0965927756038549,-0.0995880175922835,-0.1016479490855219,-0.1039090136655902,-0.10734692271182,-0.1104315755798269,-0.112411122724217,-0.1136656270604705,-0.1153625839547853,-0.1179179819653469,-0.12024812503699,-0.1231046537506335,-0.1258347493374106,-0.1282849313940935,-0.1305953385455421,-0.1324405784909456,-0.1344435704209412,-0.1361410347975755,-0.138794032581496,-0.142001373731315,-0.1439614870014715,-0.1459841577085445,-0.1487816327769305,-0.1521321837438581,-0.1550725435672608,-0.1575774585972746,-0.1592876071832832,-0.1600240976016309,-0.1620628101119922,-0.1663101857772315,-0.1707012191228159
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0020406052598579,-0.0040979308953406,-0.0059705707757788,-0.0066894334767767,-0.0075997140710015,-0.008748996584096,-0.0097556322546197,-0.0111171111246734,-0.0127088307583799,-0.0148211546359957,-0.0171951673598052,-0.0190895180785119,-0.0205163266857477,-0.0228462419157821,-0.0253434752103277,-0.0275924850607005,-0.0301911735693628,-0.0323245030063258,-0.0340016343331103,-0.035535553818768,-0.0363885348820359,-0.0369408795272583,-0.0383277220763846,-0.0396335139229783,-0.0404376427465219,-0.0417318234440785,-0.0434168582122043,-0.0444524476624866,-0.0455183722425793,-0.0471104970175444,-0.0481624144457811,-0.0493834825763622,-0.0525564827129341,-0.0551247219325761,-0.0559970457652005,-0.0568048426538813,-0.0576324251923067,-0.0587485846248268,-0.060527966439011,-0.0623415177180816,-0.0640733059740539,-0.065795339508848,-0.0670464327412676,-0.0684318004626927,-0.0697025353806402,-0.0712789520772162,-0.0725935188860894,-0.073739536803317,-0.0748351249689987,-0.0764906125746091,-0.0786720652251347,-0.0801529189007033,-0.0815360822997491,-0.0830602470144238,-0.0852844410508506,-0.0870678632967344,-0.0888160002485147,-0.0917821995716003,-0.094144183794706,-0.0952500052165415,-0.0963763542963087,-0.0982905708653772,-0.1008313021439174,-0.1030218952361911,-0.1046641990025635,-0.1064258974564339,-0.1077180634300026,-0.1083695415580327,-0.1090414154877542,-0.1102612483952905,-0.1115546864932272,-0.1125364152921233,-0.1133193048042286,-0.1141231618341759,-0.1155071108405732,-0.1173385205935747,-0.1191937742976243,-0.1203950317763469,-0.1214441292424798,-0.1233990601725372,-0.1260702175591823,-0.1282554510331052,-0.1298732999561948,-0.1317033113987382,-0.1337022943161022,-0.1361477224095801,-0.139279915721655,-0.1423798395102113,-0.1444130608002308,-0.1466834182726268,-0.1489229226023169,-0.1502727176378322,-0.1515535610931987
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0028630522018909,-0.0046292049220232,-0.0066444454056948,-0.0077180761938527,-0.0087447411403043,-0.0101361395148486,-0.0113046983153346,-0.0130765746365992,-0.0149677098729903,-0.0175516303326811,-0.0202696189661592,-0.0225456902407834,-0.0241830887847658,-0.0268793202957798,-0.0296854479821541,-0.0321422179403141,-0.0350548680519199,-0.03743810612627,-0.0393228582043051,-0.041159037707939,-0.0423536289255417,-0.0432794211014319,-0.0450526212661712,-0.0467363611827452,-0.047994219803572,-0.0496528554181437,-0.0517783210217518,-0.0531857672422284,-0.0545808500505584,-0.0566103804073231,-0.0579401126868006,-0.0595581990518921,-0.0631122479557219,-0.0660471036196991,-0.0673315186608192,-0.0684980912426682,-0.0696918498999414,-0.0711394234646462,-0.0733452249805122,-0.0755616247068295,-0.0776679181713698,-0.0796495974038822,-0.081305969390519,-0.0830624718259725,-0.0846991955057216,-0.0866408362153361,-0.0883097272467552,-0.0898174790171831,-0.0913320713856903,-0.0933490038359256,-0.0959247119336578,-0.0977556984390855,-0.0995688242518201,-0.101448610871936,-0.1039931808703927,-0.106115064706784,-0.1082388899721237,-0.1116121114558241,-0.114331803149487,-0.1157791246291638,-0.1172530834410665,-0.1195152884255508,-0.1223998322290454,-0.125029269654108,-0.1270269840786706,-0.1291627332086717,-0.1308307658868753,-0.1318420745351547,-0.1328696304254547,-0.1343679566851525,-0.1360078687336044,-0.1373179080876003,-0.1384051871960269,-0.1395344521985325,-0.1412483436356961,-0.1434328582878763,-0.1456101421837216,-0.1471259417903425,-0.1485022157390035,-0.1508016380827842,-0.1537874275222655,-0.1562894537587548,-0.1582270041478105,-0.1603932075357762,-0.1627017819879253,-0.1654574372979599,-0.1688989917830927,-0.1722982358725282,-0.1746573159049571,-0.1772391889081305,-0.1797697438874744,-0.1814206341769245,-0.1830013768586025
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,-0.0023648972843378,-0.0039347463348259,-0.0057295991389576,-0.0065770395674989,-0.0071732550601361,-0.0082925048421191,-0.0091331065223235,-0.0103143543773406,-0.0118832311243033,-0.0138386174507992,-0.0160249321353889,-0.0177283209542946,-0.0189880848201726,-0.0211200425233068,-0.0234140196721797,-0.0253905845001712,-0.0278304386125102,-0.0297272819177925,-0.0310946253254532,-0.0322270756404251,-0.0328774256804174,-0.0332348500475975,-0.034374136761164,-0.035471174639337,-0.0360988902050022,-0.037198691658449,-0.0386508302344305,-0.0395003736782871,-0.0404182272802854,-0.0417861432961299,-0.0425941317419467,-0.0436916982857564,-0.0467483356336634,-0.0492007004627909,-0.0499558463014801,-0.0506071356995662,-0.0513078950815953,-0.0522445674552894,-0.0538822696538756,-0.0555716511168996,-0.0571809335426437,-0.0586854729855687,-0.059815070270659,-0.0610661454740315,-0.0621756031388997,-0.0636287269231949,-0.0648218545448214,-0.0658435287249918,-0.0668237041443645,-0.0683533068962568,-0.0704199539586755,-0.0717764221643717,-0.0730755543816212,-0.0744856105292389,-0.0765562849809681,-0.0782296686440224,-0.0798378988279217,-0.0827054722244137,-0.084954687785578,-0.0859528922875008,-0.0869749681438184,-0.0887794701547761,-0.0912098911306003,-0.0932922757528228,-0.0948249095741619,-0.0964995047441222,-0.0976892730400978,-0.098233588330777,-0.098797639861761,-0.0998513749343086,-0.1010355633449726,-0.1019108405739596,-0.1026243756972669,-0.1033192946698602,-0.1045941783980649,-0.1063227619677805,-0.1080735419569043,-0.1091697007623645,-0.1101803047910688,-0.1120234443327082,-0.1145821253616637,-0.1166575944291933,-0.1181980495108952,-0.1199171347308876,-0.1218050380481927,-0.1241407757091721,-0.1271702215174943,-0.130171281629774,-0.1321051319434477,-0.1342694995263425,-0.1364045702713767,-0.1376487724337005,-0.1388198485784484
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0019446201221488,-0.004041535294368,-0.0053579034607974,-0.0069264012858843,-0.0088239704009038,-0.0105235562508954,-0.0118994901615386,-0.0136918149142,-0.0165283825230521,-0.0198630933802477,-0.0227376524172174,-0.0237838638391042,-0.0245178881397674,-0.025748068217747,-0.0267389445543036,-0.027324210427402,-0.0280670733670454,-0.0295261186457721,-0.0313632095480383,-0.0329327086146829,-0.0344828995643654,-0.0364211525392688,-0.0383429803043927,-0.0404599539123119,-0.0426504477427089,-0.0441915065463485,-0.0457204218523422,-0.0474222400007989,-0.0484184190281293,-0.0486781315980478,-0.0496231585290641,-0.0503779751745515,-0.0516098808320614,-0.0525126466213459,-0.0522904435574539,-0.0536533887457118,-0.0559266292633943,-0.0576786733641951,-0.060339444320078,-0.0629505054455762,-0.0646354547998983,-0.0656261669129595,-0.0667768661479053,-0.0673914956781387,-0.0679850110240426,-0.0693159326375539,-0.0705617864410849,-0.0728172330726838,-0.0751845346613006,-0.0766501325992908,-0.0782311554847346,-0.0808249584554492,-0.0832248824525557,-0.0856561690103371,-0.0893054019938708,-0.090888468023634,-0.0922882201454129,-0.0945149181243765,-0.0957352245495209,-0.0958543885053269,-0.097356436242438,-0.0997559081610962,-0.1021293708217975,-0.1051005874502857,-0.1071096650779401,-0.1092185940107732,-0.1125439541979387,-0.1155868089256179,-0.1174363561577475,-0.118547431478294,-0.120137900840654,-0.1225858903406538,-0.1248360909174544,-0.1275779439624524,-0.1300558839819116,-0.1324246166685445,-0.1345050083721275,-0.1361409002509595,-0.1379911845414134,-0.1397948756835434,-0.1425015167552938,-0.1456777291280821,-0.147569218789534,-0.1496778982825464,-0.1524217696193241,-0.1557493694976699,-0.158581541631964,-0.1608817701386567,-0.1624412033322372,-0.1631342074982349,-0.1650138825785981,-0.1691829413264443,-0.1735584561428861
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0027795755849414,-0.0045990356029146,-0.005874402091261,-0.0077547197077937,-0.0096798493941652,-0.0117033034458175,-0.0132303471072689,-0.0153384900624599,-0.018623426962018,-0.0225943958673983,-0.0258207942398863,-0.0272690610060804,-0.0283474009604097,-0.0298455202919005,-0.0313075126448183,-0.0322043633973068,-0.0333900825694718,-0.0351277999172354,-0.0372695791096584,-0.0393125859076739,-0.0412041730914279,-0.043535904240259,-0.0457839005403421,-0.048336198271351,-0.0509875054041597,-0.0529658842634035,-0.0548051242222657,-0.0569480688457717,-0.0583230478490542,-0.0591455474176696,-0.0605644951297628,-0.0617283233609057,-0.063417843831684,-0.0647122291215194,-0.06490196192711,-0.0665541453452422,-0.0692607154335268,-0.0714162902977698,-0.0744862375286362,-0.0774851373685657,-0.07956953337759,-0.0809521522685678,-0.0825019865090121,-0.0834912239626251,-0.0844659551082384,-0.0861787446604923,-0.0878049986011975,-0.0904545526720348,-0.0932212627234903,-0.095073563573051,-0.097037386256101,-0.0999408294662363,-0.1026887121229314,-0.1055126885709477,-0.1094323850983099,-0.1113275708995259,-0.1130808254421991,-0.1156721947591389,-0.1172491533403288,-0.117672278740269,-0.1195562489892869,-0.1223040492652162,-0.1250486389737393,-0.1284431842158835,-0.1308828092264022,-0.1333421135061938,-0.136982887706808,-0.1403589070565124,-0.1426195925675757,-0.1441329764997643,-0.1460776739788856,-0.1488321949667505,-0.1514944473365986,-0.1545849095008154,-0.1574201334083599,-0.160048859704537,-0.162465549031153,-0.1644070718977938,-0.1665846553743422,-0.1687039803439271,-0.1716976480444056,-0.1752007828293424,-0.1774763989293027,-0.17993376293971,-0.1830066400686233,-0.1866634420923816,-0.1898229049054198,-0.1924528000486329,-0.194390273352481,-0.1954059031537482,-0.1976079100759354,-0.2020935438907196,-0.2067834739790531
PIG5,ssp245,CESM2-WACCM,WT,0.0,-0.0022581690960138,-0.0038854222932872,-0.0049375287698793,-0.0066455453200011,-0.0082292139513965,-0.0100155005225129,-0.0111363683538492,-0.0127341705089897,-0.0154475300368269,-0.0185688480935615,-0.0213023155242516,-0.0221838530138212,-0.0227844175552106,-0.0237621957363555,-0.0246421294075419,-0.0250596108528026,-0.0256310820305178,-0.026843903592781,-0.0285606852130567,-0.0298681739045037,-0.0311890396840848,-0.0329269690715218,-0.0346234691258736,-0.0365501746448629,-0.0385660674099065,-0.0398930691348201,-0.0411314803884326,-0.0426665623894243,-0.043508058818723,-0.0436669167004142,-0.044499611705875,-0.045149845723683,-0.0462675777354593,-0.0469920387753812,-0.0466743224623633,-0.0477665478758845,-0.0498950237923894,-0.0515354993617541,-0.0540850853192014,-0.0565882943488983,-0.0581909457608869,-0.0591106605813913,-0.0601533581372319,-0.0606524451603416,-0.0611171932586024,-0.062331984951368,-0.0634583897417256,-0.065596942329164,-0.0678475750826411,-0.0692003162905452,-0.0706650327351244,-0.0730623269132116,-0.0753328755920844,-0.0776848920281144,-0.0811247054452434,-0.0825617007758226,-0.0838343467665531,-0.0860168475865853,-0.0871337926840322,-0.0871939447656281,-0.0885880394975006,-0.0909644606055398,-0.0932282280630955,-0.0960950003178238,-0.0979968106559973,-0.099970622431458,-0.1031471787684639,-0.1060812492173302,-0.1078592770547986,-0.1089297216907531,-0.1104131665856811,-0.1127275717661426,-0.114871331665584,-0.1175076082459741,-0.1198799536732608,-0.1220695066406973,-0.1240390207699465,-0.1255357560910906,-0.1272808010549679,-0.1289073509852087,-0.1314659856440431,-0.1345398428790126,-0.1363845429370735,-0.1384201999408452,-0.1410620201710988,-0.1442915485075852,-0.1470218000164599,-0.1492120913400126,-0.1506626250203599,-0.1512483026116078,-0.1530190085716848,-0.1570748899568677,-0.1613389927701824
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0020406052598579,-0.0040634108485604,-0.005791704898109,-0.0063417148453485,-0.0072391329177759,-0.0084030588895532,-0.0093757954079768,-0.0106923502045646,-0.0120099651722104,-0.0141022201044809,-0.0162556121940269,-0.0180727838595803,-0.0194967165687795,-0.0218174319605942,-0.0241835795465559,-0.0262457101645008,-0.0287280791512272,-0.0308142182020761,-0.0326372912942136,-0.0338950082731955,-0.0347432011865686,-0.0352049544973907,-0.0363750256427286,-0.0375335811609286,-0.0381049508762456,-0.0392829831969473,-0.0409061980515866,-0.0417204626753636,-0.0426615977912512,-0.0439871425045453,-0.0449477944339124,-0.0460578249815453,-0.0491250402215225,-0.0517552259732396,-0.0526743749313081,-0.0535228908964538,-0.0542912890589713,-0.0553442168908815,-0.0570610237131401,-0.0588182470480974,-0.0606357909593455,-0.0623262190396222,-0.0635572286383904,-0.06492752199568,-0.0662334226496372,-0.0677637814166969,-0.0689711464833706,-0.0700919270963728,-0.0711642368056726,-0.0728165727287673,-0.0749106090264486,-0.0765328845492245,-0.077900108227714,-0.0794461459439932,-0.0816477988577537,-0.0834650162476471,-0.0853064241333146,-0.0882929107108791,-0.090651091891798,-0.0917966865029244,-0.0928973508302371,-0.094789286952763,-0.0972164464073144,-0.0994657756138102,-0.100936377240609,-0.1026879662123999,-0.1040033050415068,-0.1047193714723668,-0.105306803727761,-0.106449620613606,-0.1077797298525425,-0.1087976226234757,-0.1096096641769356,-0.1103357754149633,-0.1117000772301145,-0.1133970965202565,-0.1152763186219133,-0.116423253181117,-0.1175314606471447,-0.1195378819194007,-0.1222695445883815,-0.1245215751769773,-0.1261210368021551,-0.1279648970894898,-0.1300272741125127,-0.1324508426955265,-0.1356262734947661,-0.1386877868556432,-0.1406646451574824,-0.1430070794779155,-0.1451744721003078,-0.146648007975155,-0.1479367647587887
