gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0129254845284475,-0.0165797338367308,-0.0211364823320962,-0.0259359939994582,-0.031417952753716,-0.0371035124521654,-0.0416345103667913,-0.0455012765674914,-0.0483312732225297,-0.0486738064361703,-0.048986683143463,-0.0541082545936445,-0.0607202455966192,-0.0650005345656875,-0.0691007537386717,-0.0731194062840758,-0.0777693238538173,-0.0823848977644746,-0.0859433989284422,-0.089638200100608,-0.0956141188010506,-0.1022095446918078,-0.1076272676794406,-0.1121940373492984,-0.118533117774423,-0.1264191222784659,-0.1352766417667522,-0.1423702370244058,-0.1480061740868414,-0.1532483680718381,-0.1566901662417429,-0.1599260988082892,-0.1648783730199752,-0.1718276938025996,-0.178952471834877,-0.1841171168135693,-0.1904863958081796,-0.2019219560745485,-0.2117491076598625,-0.2153171261251197,-0.2193498692171484,-0.2250704582223638,-0.2315093137836003,-0.2366275873023732,-0.23968994768618,-0.2448130968351448,-0.2509452355108222,-0.2583489095849564,-0.2651362693173182,-0.2709785051513275,-0.2760743368438763,-0.2794870977769031,-0.2829988824679017,-0.2884348897614195,-0.2970568145559693,-0.3039204142807492,-0.3098614903868228,-0.3170379324731245,-0.3232785573235963,-0.3299769661264223,-0.333994602649468,-0.3386224379298832,-0.3443474661808573,-0.3496896442907135,-0.3549201022465907,-0.3623767805343703,-0.3705444496240256,-0.3761361981453499,-0.3813887591249504,-0.3894064742315145,-0.3979880839805798,-0.4041291566263916,-0.4089168624990094,-0.4129168678710226,-0.4188306774566683,-0.4304259236475168,-0.4396360286353966,-0.4437542933193113,-0.4471774444893528,-0.4542193074564327,-0.4625121436777054,-0.4688881571513714,-0.4759218266202614,-0.4847542361399896,-0.4909634732475001,-0.4930669756230822,-0.4952084890289023,-0.5016856819898966,-0.5076713201269993,-0.5130942734098461,-0.5203900029492006,-0.5256474764182514,-0.5311557623950353
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0183837828072413,-0.0227731788658696,-0.0283784245932776,-0.0345195161207586,-0.0421040929490734,-0.0491766380433655,-0.0555742146217897,-0.0611678474034261,-0.0656471815790289,-0.0674478582062449,-0.0697133154588043,-0.0761099451863084,-0.0835221759276369,-0.0887742032736096,-0.0940888893669691,-0.0995308734072397,-0.1056413414704564,-0.1116999453894064,-0.1165399550719309,-0.1216446249484113,-0.1288522107482962,-0.1374471925770912,-0.1434801809438032,-0.1491250029165158,-0.1566319457636556,-0.1657073462783763,-0.1758063857225764,-0.1841642656115168,-0.1909752612214622,-0.1973746344194798,-0.2014450019861946,-0.205823742835066,-0.2120079456241568,-0.2201119763346521,-0.2283876448756322,-0.2347970407279208,-0.2423668847724225,-0.2555587040002084,-0.2665969426111957,-0.2713215688017242,-0.2765651528184866,-0.2837294540899993,-0.2912304610946148,-0.2973443851410676,-0.3015783102413116,-0.3078850416299402,-0.3151629538433701,-0.3238205604108456,-0.3317227144444983,-0.3386590327000222,-0.3448959148594262,-0.3493896060630203,-0.35403194670171,-0.3601120708647032,-0.3697778294288314,-0.3777074040691868,-0.3847283605510209,-0.393071089319465,-0.4004155079741204,-0.408165691972674,-0.4131586518350485,-0.4189675427049393,-0.4257346960138224,-0.432106015524203,-0.4383400418606554,-0.4469686524469866,-0.4561664613476019,-0.4627878749399353,-0.4690980564104364,-0.4783367561997624,-0.4880108291760369,-0.4951801150352867,-0.5011176468755155,-0.5061717973441469,-0.5131605745826519,-0.5257739768124584,-0.5360352496240004,-0.5411937501758557,-0.5455500245436401,-0.5536712212232842,-0.5629325436587371,-0.5702312900555655,-0.5781571954667523,-0.5880211276311412,-0.5950846449146938,-0.5980793017684828,-0.601293425286508,-0.6087830615154898,-0.6157187648853719,-0.6221176988481841,-0.6303510872945456,-0.6364718650003204,-0.6426124859068345
meanAnt,ssp245,CESM2-WACCM,WT,0.0,-0.0048894382247933,-0.0055682945904751,-0.0069100999346785,-0.0085478001763671,-0.0119284195571155,-0.0146970104863385,-0.0162316888412094,-0.017380912209683,-0.0175246459621266,-0.0154171834261947,-0.0133174471205835,-0.0154017055112261,-0.0185326895600597,-0.0198273872005327,-0.0214001241665748,-0.023037364065762,-0.0254046776220158,-0.028090163564273,-0.0295765677189187,-0.0313592669852056,-0.0353150290587473,-0.0399577026300131,-0.0427990068049685,-0.0457634959436384,-0.0501402496647275,-0.0561498868772166,-0.0634696023963343,-0.068803882484601,-0.0726979968895854,-0.0762479792384871,-0.07742149051924,-0.0790420086902814,-0.0823494013450427,-0.0877787397815565,-0.0933993975474824,-0.0970696897735302,-0.1019371730029477,-0.1119062235478496,-0.1202979472029041,-0.1225046780804219,-0.1252270883069524,-0.1297244215345091,-0.1345283616454214,-0.1383332723593795,-0.1404584875876228,-0.1444205984165686,-0.1494686720960806,-0.1557785893866326,-0.1614571553275795,-0.1661699943611234,-0.1701737590719602,-0.1724705112704031,-0.1748713802303121,-0.1788053186731769,-0.1862017391905649,-0.1920688047921988,-0.1969300468702688,-0.2031046058116731,-0.2083441741993771,-0.214037171571139,-0.2170577560968101,-0.2207458630039879,-0.2255301832679329,-0.2299254006174567,-0.2342329699748329,-0.240910062434657,-0.2482737753788083,-0.252983033572879,-0.257356799678511,-0.2646134416543483,-0.2723699772181309,-0.277682390111548,-0.2816635034470189,-0.2848896250676618,-0.2899447194371813,-0.3006738241666322,-0.309021564902635,-0.3123156407538159,-0.3149258233171189,-0.3210691170969955,-0.3285188145664614,-0.3340317906560654,-0.3402086480045664,-0.3482217657203117,-0.3535677822546631,-0.3549153200347058,-0.3563748533320815,-0.3621184083623745,-0.3673130166098415,-0.3718684455486822,-0.3783741080146177,-0.3828428162817615,-0.3874058672813684
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.012096847682086,-0.014709230509827,-0.0173964419248376,-0.0214609627187795,-0.0261642420523596,-0.0301861442412546,-0.0337682233634956,-0.0383492193953192,-0.043277979830776,-0.0459794489481989,-0.0483295443462071,-0.051057652286409,-0.0548411541561058,-0.0594434625918689,-0.0634982624998169,-0.0681034887146401,-0.0725960843123723,-0.0765220949325759,-0.0806840893463628,-0.0848393723778844,-0.0889169382164664,-0.0944795808922401,-0.0994177064154395,-0.1036890886419277,-0.1096896036189861,-0.1155981130621783,-0.1204664730180843,-0.1254557213900118,-0.1314875556049218,-0.1368377071130007,-0.1414888555064947,-0.1448402685723537,-0.1496792807056391,-0.1550537601102887,-0.1601112042410069,-0.1656604025979467,-0.1708194556271271,-0.1770118801530081,-0.1834198650299235,-0.188793911758382,-0.1945171542613765,-0.1997177324349376,-0.2051035489034171,-0.2095501568640328,-0.2148081809461237,-0.2198048112260665,-0.2239051106350327,-0.2278378913261674,-0.232167916530124,-0.236770820488048,-0.2432834540101699,-0.2511742058957507,-0.2568155305782355,-0.2624057183295883,-0.2675625459697134,-0.2737479880591525,-0.2798101419035873,-0.2840535812919931,-0.2899574061061594,-0.2964878046451255,-0.3020346547008349,-0.3076342529055416,-0.3136567860531898,-0.3205895080751116,-0.3254986971777742,-0.329934477121475,-0.3350747615210812,-0.3414690333875152,-0.3487357020363902,-0.3548543583282856,-0.3601567456720625,-0.3664514960753948,-0.3739969738416399,-0.381205927816004,-0.3879692854376355,-0.3942204867703376,-0.4009497800929915,-0.4071869467330147,-0.4129220655405534,-0.4195421078768021,-0.4270227441393407,-0.4337693645025802,-0.4400343263175076,-0.4465248309444154,-0.4529826240066107,-0.4597385075522201,-0.4653013024135561,-0.4722647408557098,-0.4800485696414441,-0.4858631233734281,-0.4912248001713177,-0.4966304912334287,-0.5027685601840105
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0172477210067291,-0.0203682754087621,-0.0240261987027241,-0.029588443658202,-0.0360770258539832,-0.0422236841563286,-0.0482866181343944,-0.0547574861255456,-0.0614026008330712,-0.0655806211981429,-0.0693561635427023,-0.0734336971686852,-0.0785448591211864,-0.08443115828848,-0.089747894882876,-0.0953228625039744,-0.1010370945007236,-0.1062099707804654,-0.1115966073932777,-0.1161013918649412,-0.1212972082466553,-0.1279040128458458,-0.1338699365004792,-0.1392685742450318,-0.1457876539030254,-0.1528057238736809,-0.1587387190995452,-0.1648550240276166,-0.1720023931962535,-0.1791157446368006,-0.1843821175568045,-0.1889357141601493,-0.1949999981848249,-0.2015638897507086,-0.2078389155679989,-0.21461773820917,-0.2209432999437411,-0.2283157884123366,-0.2359600799866692,-0.2424761909405214,-0.2487787225943155,-0.2551604026323464,-0.2616428732018314,-0.2679141989952211,-0.2738261265095927,-0.2798575046337975,-0.2850392460715229,-0.2900008166190616,-0.2959954486256873,-0.3017413955290326,-0.3093882551696235,-0.3183567034392296,-0.3251506148082543,-0.3313647734746946,-0.3376589466326836,-0.3449866165503045,-0.3521918164848244,-0.3575017210370821,-0.3644985447215062,-0.3721259916891068,-0.3787382403658134,-0.3853684390582383,-0.3925445674274405,-0.4004850503379669,-0.4063883970502701,-0.4119084375081436,-0.4180666864246151,-0.4255228391954248,-0.4337938706535801,-0.4410752131258549,-0.447428247335129,-0.4548206118306609,-0.4633996543621174,-0.4717942612144954,-0.4796071668900913,-0.4868848182518077,-0.4948360080671393,-0.502168454658531,-0.5090222280036443,-0.5166872813847317,-0.5253513943627706,-0.5331127777130682,-0.5403934029550294,-0.5478433875405229,-0.5554287637185478,-0.563183437630394,-0.5697097705457533,-0.5778448766567132,-0.5866585351954376,-0.5934540914097175,-0.5998915884560464,-0.6064581935598935,-0.6134527779793205
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,-0.0040650453270936,-0.0029495286728743,-0.0027008587120673,-0.004220314138376,-0.0065193270548162,-0.0082060820735957,-0.0095337250739414,-0.0118496677675941,-0.0144393220797286,-0.0148063467255944,-0.0150036824881794,-0.0155790335766247,-0.0172190990617926,-0.0196979634797187,-0.0230586522118689,-0.0259784261333695,-0.0283621643846566,-0.0302263216531981,-0.0323860759725246,-0.0339603537201065,-0.0362849516229115,-0.039905606790341,-0.0428055888879333,-0.0450992359544525,-0.0485016009814558,-0.0524988891175504,-0.0553860119019445,-0.0585979665047873,-0.0628323044273096,-0.0663875431977391,-0.0687708516557987,-0.0705114318734297,-0.0736625799179454,-0.0774144416855897,-0.0809348592877844,-0.0849962616256527,-0.088836279612206,-0.0936221892648816,-0.0986614322216872,-0.1027289460023748,-0.1065702803808104,-0.1105189009634219,-0.1146595729600962,-0.1178734616216022,-0.1213796325480359,-0.1251337024531371,-0.1281411079316923,-0.1309801439105459,-0.1342773822709017,-0.1378046418102706,-0.1432544262678293,-0.1500937688630418,-0.154658808008248,-0.1586692749929178,-0.1627273815453481,-0.1677936164641764,-0.1727087883583261,-0.1758706778190928,-0.1806858831621019,-0.1861156454649731,-0.1906340001244524,-0.1951655523690013,-0.2001885180858567,-0.2061267726717154,-0.2101224690061507,-0.213548255650419,-0.2177386888520001,-0.2232405095336507,-0.2295961189174545,-0.2348711341768724,-0.2392446994292773,-0.2446145811858202,-0.251226692558917,-0.2575504986218451,-0.2633999423868717,-0.2688683547030712,-0.2748340032809374,-0.2803136271726988,-0.2853341076174235,-0.2912392119110134,-0.2980040368158196,-0.3040969596353071,-0.3097813022667869,-0.3156351088022368,-0.3214554879420809,-0.3275839950068147,-0.3326066024980099,-0.3389765494619248,-0.3461713051248632,-0.3513463249914108,-0.356116205598613,-0.3609049184232464,-0.3662436959249353
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0129254845284475,-0.0171930435751603,-0.0228614962056433,-0.0278580414651933,-0.032706869345993,-0.0394061295244804,-0.0458662835591938,-0.0508300192837839,-0.0544262185357359,-0.0547767462181615,-0.055701902264281,-0.0616163512993354,-0.0694579167324506,-0.0740504820190097,-0.0789600442736897,-0.0834609774620964,-0.0880957387644935,-0.0925387016499759,-0.0964281202721904,-0.1007546853419031,-0.1073391111689956,-0.1141621227076192,-0.1184368520139992,-0.1223197683932314,-0.1279672764860119,-0.1361355523070424,-0.1455729637273991,-0.1523250047174235,-0.1575295478753123,-0.1628541532397913,-0.1655606633762016,-0.1685870240153258,-0.1714936939224711,-0.1787297279326575,-0.1876403278928898,-0.1938319215956211,-0.1994954082907246,-0.2107142263490435,-0.2201984410087766,-0.2227519954545869,-0.2258487544041893,-0.2313924771371193,-0.2362984671113157,-0.2369943761251375,-0.2360731755404509,-0.2401236087528405,-0.2472312721977977,-0.253883723033628,-0.2574138689670175,-0.2615273633395238,-0.2651768431520673,-0.2668269718431863,-0.2686062519710657,-0.2715971503533798,-0.2796846265755666,-0.2864772518693476,-0.2915618518179144,-0.2983670699983875,-0.303441665021837,-0.3091786996876878,-0.311030985315724,-0.3147549178471256,-0.3186493874588634,-0.3227729069576232,-0.3270450069282034,-0.3325194410523041,-0.3359278300272501,-0.3354832658570219,-0.3354981829767399,-0.3402326124583996,-0.3457468574319362,-0.3488421777565237,-0.3493837068151708,-0.349509330093273,-0.3524804242905619,-0.3615555862586784,-0.365365368104982,-0.3643186102167866,-0.3590764442272725,-0.3605727532663414,-0.3640713483411941,-0.3658234355710172,-0.3670129184502324,-0.3694587307412882,-0.3685095757935294,-0.3635798491353387,-0.359852602990091,-0.3591572385828828,-0.3580614625900442,-0.3565752073958679,-0.3574234470408524,-0.3573247781569768,-0.3569317361898005
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0183837828072413,-0.0234383777229212,-0.0303268647614345,-0.0378009115619405,-0.0445883248108971,-0.0532745867468346,-0.0611142089416392,-0.0673516292824109,-0.0724837829899659,-0.0740809215502849,-0.0769935247821993,-0.0844484973067306,-0.0933601861178441,-0.0983845210721475,-0.1040193854031411,-0.1095536538577588,-0.1157159433619477,-0.1214632356318313,-0.1266087440996633,-0.1321825767483954,-0.1400276689093232,-0.1480573580002817,-0.1535801713199623,-0.1586792777142016,-0.1660965040425226,-0.1755676499514261,-0.1863507223755988,-0.1943361604634168,-0.2009227682846543,-0.2068297295642975,-0.2108007771191526,-0.2150770414164908,-0.2194716860859179,-0.2280435046392957,-0.2378818064928547,-0.2453344920350444,-0.2523283333798671,-0.2648531629232752,-0.2756059150785991,-0.2795238384249124,-0.2839519892517909,-0.2902225089236987,-0.2965917927358151,-0.2985757118221075,-0.2989185928680021,-0.3043996807887219,-0.3122554576998343,-0.3201930557197758,-0.3249268438894186,-0.3302536642334457,-0.3351246408797096,-0.3379316625282151,-0.3409027104324871,-0.3451143308045015,-0.3551906442475943,-0.3631839590377879,-0.3694543130557327,-0.3773682807365229,-0.383760354507556,-0.390663936824712,-0.3936220291185803,-0.3986167378585357,-0.4036562589734789,-0.4089444766915905,-0.4143898493518323,-0.4209767890271759,-0.425452686069715,-0.4259776172733411,-0.4271272319214359,-0.4328305697325992,-0.4393818024162478,-0.4434912941091944,-0.4451613616548254,-0.4462126038891211,-0.4500413969770916,-0.4600230956273404,-0.464706387927603,-0.4644268273305408,-0.4598448819917176,-0.4619848120037516,-0.4659768459585468,-0.4681756618352292,-0.4699284349985922,-0.4729140864952974,-0.4722860397644644,-0.4674079142004416,-0.4637430769415308,-0.4627329261580943,-0.4611744536923201,-0.4590404505932769,-0.4593459245298954,-0.4586646868040164,-0.4573916808380623
PIG5,ssp245,CESM2-WACCM,WT,0.0,-0.0048894382247933,-0.0055519281718501,-0.0066258983309234,-0.007746069045472,-0.0095546488191375,-0.0127110577017785,-0.015114477419328,-0.0167907305094988,-0.0168496439239643,-0.0142968168127316,-0.0123175971756913,-0.0149419900444297,-0.0187276464125961,-0.019926251259958,-0.0221098578375194,-0.0240652724689095,-0.026646437500441,-0.0290647732933121,-0.0309628359122525,-0.0334318356912528,-0.0381382728345408,-0.0432483423973216,-0.0457839824598624,-0.047979695098762,-0.0520091303815091,-0.0586973633275184,-0.0666892813188854,-0.0720829339731062,-0.0760032727965176,-0.0793474317157376,-0.0808605779085505,-0.0827438769515058,-0.0846020229748287,-0.0909276570693467,-0.0984256229461529,-0.1037892273192954,-0.1084677093127462,-0.1188234166512736,-0.1275428737107881,-0.1293187089109833,-0.1316763527588342,-0.135832652959419,-0.1398866685381979,-0.1396621993514067,-0.138019387461586,-0.1414218557192499,-0.1472162528908125,-0.1530356969701051,-0.1560154939929758,-0.1591380226246178,-0.1619439359130331,-0.1626828555474431,-0.163653989260167,-0.1657866494614126,-0.1730752167968072,-0.1790824457642556,-0.1833456242320079,-0.1893308646812891,-0.1935570280179872,-0.1985137700133312,-0.199516602207031,-0.2024417260996888,-0.2056695669033977,-0.2089789571329337,-0.2124169073352274,-0.2170502578620619,-0.2197205914230448,-0.2183999546236502,-0.2175332680678987,-0.221496767447825,-0.2261008027003694,-0.2282408639521911,-0.2277769283689627,-0.2269918987018382,-0.2289870733673926,-0.23699698971218,-0.2396564443536487,-0.2372213487085891,-0.2304565270525168,-0.2303512141076779,-0.2321997659199376,-0.2321351319341504,-0.2312906219556498,-0.2316254026549347,-0.2281551045615568,-0.2204675926276775,-0.214027494260491,-0.2108226117831456,-0.2075092638427338,-0.2034759846715084,-0.2016199696538551,-0.1984074729416093,-0.1943137538675613
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.012096847682086,-0.0109706397412055,-0.0094638002822554,-0.0138060283937996,-0.0190444038336401,-0.0235859425940956,-0.0278458115278589,-0.033197371556652,-0.0389077649270647,-0.0420293580022034,-0.0413521757063986,-0.0387511455076088,-0.0427244350590529,-0.0466581649486326,-0.0497557161181073,-0.0536539952332624,-0.0572415169690387,-0.0605996043056259,-0.0649454069757703,-0.0686206120948476,-0.0726191539503735,-0.0784756847945558,-0.0835848970450843,-0.088066634777509,-0.0931136702434464,-0.0979641797990908,-0.1019704805747052,-0.1064977253244382,-0.1127627027167455,-0.1180022204163067,-0.1218596554767188,-0.1239932112434041,-0.1280930402933492,-0.132795480400271,-0.1369491985246328,-0.1425310159901666,-0.147973929130631,-0.1546373860590961,-0.1614573431110261,-0.1669481271793318,-0.1726630966550489,-0.1783542880586565,-0.183780434533345,-0.1885260434904157,-0.1935964109563253,-0.1987938285250228,-0.20276599099708,-0.2071510280757664,-0.2117077230604444,-0.2163899829048459,-0.2230958640490544,-0.2312942875750915,-0.2369592667853227,-0.2429155404119873,-0.248417085612282,-0.2549493574282561,-0.2613054535501445,-0.2657385764703294,-0.2718481193932621,-0.2787034004067771,-0.2844471938769213,-0.2904498480415656,-0.2966138078255755,-0.3037467925677451,-0.3085408484078251,-0.3131580863732073,-0.3185349895980318,-0.3250705206375137,-0.3325351707813019,-0.3389852174222821,-0.3445661313988014,-0.3510609282819243,-0.3588809117476669,-0.3663334813664379,-0.3733290359022193,-0.3794947305612983,-0.3862585353769085,-0.3926161826719219,-0.3983327182345394,-0.4049101052009144,-0.4123568972337382,-0.4189731861716901,-0.4249862167451668,-0.4313056968321662,-0.4376697142394723,-0.444478735857633,-0.4500812155115029,-0.4571738091510932,-0.4649505088161769,-0.47082766808654,-0.4760536928086524,-0.4815393725110445,-0.4876582315767663
