gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0029419174842705,-0.0066893930167029,-0.0125699010550207,-0.0178858634662646,-0.0268540333253051,-0.0346361308463632,-0.0434670832605304,-0.0533293522998387,-0.0576484602453823,-0.0640918459506412,-0.0746028565258267,-0.0840242232558591,-0.0946507368513335,-0.1037669725175054,-0.1075541449171099,-0.1107524004706075,-0.1182748948808034,-0.1271621607207452,-0.1362842061315833,-0.1460107261498059,-0.1548041324953284,-0.1632699675692339,-0.1752554405941871,-0.1884606011289932,-0.1975895496964747,-0.2054797880107992,-0.2131974435692228,-0.2225768804739099,-0.2311994330541125,-0.2378623013307795,-0.2437023824455375,-0.2510964851473848,-0.2566272113423691,-0.256989865836268,-0.2594131352216051,-0.2634281540377507,-0.272831781835837,-0.2851760892335828,-0.2960960481634555,-0.3096620986076686,-0.3262301528166386,-0.3411177676872333,-0.3523340244563136,-0.3615263749507612,-0.3679830158596155,-0.3733899404770515,-0.3811768537087926,-0.3905922469592348,-0.3988616411993435,-0.4063156068730832,-0.4158746372198724,-0.424656690788914,-0.4305430527354287,-0.4383284490988362,-0.4477186202591968,-0.4577996443116931,-0.4698370630854681,-0.4818411221499107,-0.4912884101628494,-0.4988418240326361,-0.5116020288462707,-0.522913392701986,-0.5284212683276824,-0.5353113800035227,-0.5408183836192139,-0.5485371396626824,-0.557040828324935,-0.5629790367333939,-0.5684816256940722,-0.5748760669170823,-0.5827010576798752,-0.5862280983851345,-0.5915294534352104,-0.5994621716093758,-0.6085480185966515,-0.6173093952455488,-0.6216817162863205,-0.6272635552625232,-0.6289675086628965,-0.6317763630427649,-0.6386352139864074,-0.6449775605825966,-0.6503617831147843,-0.6549899361363023,-0.6596525708667204,-0.6616629375234118,-0.6628942377755961,-0.6616221701082623,-0.6569220091987799,-0.6538813252203626,-0.6507973715376575,-0.6501638108958067,-0.6537613661831015
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0037756504899239,-0.0077948175157588,-0.0139277301708006,-0.019774424877634,-0.029666918307663,-0.0385121128897522,-0.0479454913716055,-0.0583814913941749,-0.0631266641254014,-0.0699894737278256,-0.0809050305898714,-0.0907220061114992,-0.1021495148643633,-0.1120649481096104,-0.1168910785526038,-0.1212081147597512,-0.1297400801621074,-0.1393566850369062,-0.1490919945340057,-0.1597304464112313,-0.1695527956177531,-0.179055131507541,-0.1921350263593004,-0.206301190761675,-0.2163909155605564,-0.2252313892112794,-0.233988932742967,-0.2442555631397504,-0.2536208200675478,-0.260905944706727,-0.2672889514045246,-0.2752702267729665,-0.2811306377700209,-0.2818789773562858,-0.2845682259913192,-0.2889000464597263,-0.2987107796092929,-0.3113016063955346,-0.3225050926350207,-0.3364317925279237,-0.3535542231780811,-0.369066415246245,-0.3806129919133245,-0.3900752641036243,-0.3967762489333085,-0.4023800603726663,-0.4102454019700834,-0.4196952524746338,-0.4279739312900997,-0.4354939267779861,-0.4451635765253394,-0.4539775970451644,-0.4602957060446511,-0.4687742515204485,-0.4789451798712649,-0.4898346344651874,-0.5027662305826244,-0.5155678693359549,-0.5258096576631909,-0.5341475622623365,-0.5478681696333696,-0.560125603989177,-0.5668658915128397,-0.5748881818382007,-0.5812884040218639,-0.5894583647837406,-0.5980567932469962,-0.6041027561880011,-0.6095942378400541,-0.6160857002019129,-0.6235399574316592,-0.626340140863314,-0.6308408077378459,-0.6379303372800643,-0.6457651891865235,-0.652868292877533,-0.6566688851051986,-0.6624799574520592,-0.6645846066887562,-0.6678536117263278,-0.6752229324959306,-0.6816485712348658,-0.6868149489094533,-0.6910238331561319,-0.6953688567326195,-0.6965325404587591,-0.6968504316090056,-0.6947746185239398,-0.6891498988826089,-0.6854935705739352,-0.6817471703962759,-0.6802405691466148,-0.6830464004090039
meanAnt,ssp245,CESM2-WACCM,WT,0.0,0.0003739401065978,-0.0017072646242844,-0.0057236662312989,-0.0088665568913731,-0.0164118912928108,-0.0229371172280597,-0.0303407133597901,-0.0388881847290202,-0.0416588655606845,-0.0466633515034679,-0.0559590547134688,-0.0641365814458177,-0.0737724534303591,-0.0820246821608815,-0.0847697230230866,-0.0869503399159049,-0.0934612423464507,-0.1012173488570714,-0.1092241342800746,-0.1180286170980999,-0.1259148641821942,-0.1335529451603626,-0.144662942037808,-0.1569197428101508,-0.1652280250809627,-0.1724008890731627,-0.179332644020418,-0.1879904342580736,-0.1959707581861872,-0.2019295487561459,-0.2070223520906887,-0.2136948087710724,-0.218651063912146,-0.2183810220632312,-0.2201272758050328,-0.2235797230068542,-0.2324035614924156,-0.2441688105330358,-0.2544200992992701,-0.267297484647004,-0.2832819998302053,-0.2977005904259767,-0.3083406369584316,-0.3168567003112831,-0.3225785324016589,-0.3271553442223343,-0.334225323595169,-0.3429199646789452,-0.3504964813072331,-0.3572373933266045,-0.3660982684879671,-0.3742702726327057,-0.3795860720481869,-0.3868477999642263,-0.3959133030310623,-0.4056283936066229,-0.4173761410455768,-0.4289659373776723,-0.4378571772269992,-0.4449036370394481,-0.4574748658232523,-0.468958967212948,-0.4743999473890385,-0.4810826503181484,-0.4861783745970566,-0.4933334319416549,-0.5012901428791606,-0.5065257735281132,-0.5112410552353658,-0.5166955680937877,-0.5237382143547368,-0.5268577015714488,-0.5317670563960932,-0.5392853682570375,-0.5477737053862025,-0.5565835880837824,-0.5617484477284629,-0.568655246575987,-0.5719435928159672,-0.5763644418912189,-0.5850483999391368,-0.5924561333052161,-0.5986487901573312,-0.6036868154783419,-0.6087503176145644,-0.6108635898103796,-0.6125057448950695,-0.6116913416763234,-0.6074603445945301,-0.6053421378162595,-0.6033731256373618,-0.6035947406872932,-0.6082922228412214
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0051838483019554,-0.0087868187813597,-0.0134091444994675,-0.0196946573659196,-0.0229899305003967,-0.0261616096935718,-0.0284041683267597,-0.0312693651540181,-0.0365731871407208,-0.0420733091135649,-0.0481882236403606,-0.0545031737217793,-0.0634824493078433,-0.0692246255837034,-0.0743113373101493,-0.084300339994658,-0.0922488263208496,-0.0948099585546373,-0.0972163261829499,-0.1026565180420925,-0.1081473758978029,-0.1126041988249864,-0.1205387168636656,-0.1290941321173759,-0.1358139817555798,-0.1414825090272284,-0.1455823592194095,-0.1504019425679661,-0.1568041246735646,-0.1639049103874124,-0.1717346584116303,-0.1779883656455613,-0.1862449949666245,-0.1978463380626622,-0.2059367046625747,-0.2107672415548297,-0.215192712060104,-0.2220567677358797,-0.2299624117157861,-0.2366375244823213,-0.2446218795709527,-0.2519300611418441,-0.2573816577701501,-0.2637620790155406,-0.2683073919267968,-0.2729267630952203,-0.2788040121811593,-0.2861831247765383,-0.2926140264926232,-0.297350483371983,-0.309899976380499,-0.3230736332308715,-0.333194145787875,-0.3450132258703781,-0.3571950987543003,-0.3649657557029071,-0.3693234562401322,-0.377139691071028,-0.386323154902933,-0.3924576247507959,-0.3977896248758409,-0.407410165477137,-0.4139166393484657,-0.4185024243477253,-0.4254951186910948,-0.436256695649323,-0.4461842577676825,-0.4546719794303539,-0.4659539704589402,-0.4748404852301742,-0.4859001760538553,-0.4971426069015504,-0.5053371926177107,-0.5183579104666955,-0.5340277197054664,-0.5461963569609609,-0.5549884308092622,-0.5647148337489782,-0.576119260903698,-0.5876279846769136,-0.5994489190609841,-0.6119457251246551,-0.6239956048954286,-0.6305272077884511,-0.6335186909105888,-0.6384253527501947,-0.6462851993487869,-0.6602045037355572,-0.6762511462871675,-0.6920104136534935,-0.7060710485291595,-0.7173127814636695,-0.7291034705670851
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.006058390437217,-0.0099673795021021,-0.0152441377652155,-0.0218967564624423,-0.0256734755784865,-0.0293664039558271,-0.0322878352525421,-0.0359635919794467,-0.0421108285952332,-0.0485463924774085,-0.0557077139858843,-0.0631633166128013,-0.0734099208158827,-0.0802723289143965,-0.0865541438844682,-0.0976722915013969,-0.1066832621925887,-0.1103658328945275,-0.1140047751822368,-0.120517789524663,-0.1269160341459362,-0.1320172135876023,-0.1404523233170275,-0.1495669157192668,-0.1569680927188357,-0.1632727347067071,-0.1679080409929159,-0.1733400739447441,-0.1803607442234877,-0.1881286627659452,-0.1964341639226936,-0.2031095402712521,-0.2120410166502658,-0.2241979923162757,-0.2328219803110672,-0.238513386032872,-0.2436270791741811,-0.2509944837937435,-0.2594328334772202,-0.2666219386898608,-0.2751354844395111,-0.2825996082768561,-0.2883875064729039,-0.2950590812584499,-0.2998973610403304,-0.3049690451254185,-0.3112810053661204,-0.3190793465866844,-0.3258591679334026,-0.3313104681016262,-0.3447470314017309,-0.3588213909475891,-0.3700933274022556,-0.3829722675614563,-0.3962573731694863,-0.405018466035775,-0.4106086297844269,-0.4195356214531628,-0.4298640733457881,-0.4371150871935674,-0.4436237398148224,-0.4543974412293179,-0.4619814935071509,-0.4677334648606613,-0.4757160224814939,-0.4875282587442547,-0.4984133621762803,-0.5079303350665015,-0.5201946897730021,-0.5300847235907449,-0.5422328460997284,-0.5544972478416027,-0.5637793189541455,-0.5779431731721979,-0.594706783569093,-0.6079060822592387,-0.6176847227013197,-0.6284254152074055,-0.6407838688353233,-0.6533301643884503,-0.6662018561099049,-0.6796946287272975,-0.6927222099821635,-0.7002653215471725,-0.7043087351861361,-0.7102795105973196,-0.7192456470081785,-0.7342687919566812,-0.7513206459430324,-0.7682157422604433,-0.7832469335430551,-0.7955982420869068,-0.8082705953771369
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,-0.0018595911998069,-0.0040312860476095,-0.0075965984249099,-0.0130714654187548,-0.0155706655006697,-0.0179654287797214,-0.0197663329798274,-0.0221268680098125,-0.0268454440403773,-0.0317631336242631,-0.0373431551787483,-0.0430752583866807,-0.0516561421267853,-0.0569284992874351,-0.06157259219845,-0.0710682366956616,-0.0785580547401244,-0.0806102327746521,-0.0824755735861488,-0.0874744276853691,-0.0923502127675959,-0.0960019787959454,-0.1031626363217672,-0.1110653769219539,-0.11711697048093,-0.1220684916043694,-0.1255680155818933,-0.1296831922697827,-0.1352389774827611,-0.1416432896281423,-0.1485776634476019,-0.1539800630383083,-0.1614858677515603,-0.1722096096279999,-0.1792869930287603,-0.1831988513632321,-0.1865116086868038,-0.1920719202597324,-0.1986630545382384,-0.2040734790083477,-0.2106853097890777,-0.216287882260851,-0.2203161648912439,-0.2254725710172447,-0.2288426650802518,-0.2323789041298577,-0.2371045794660709,-0.2433025957404798,-0.2484937732348655,-0.2519912442974935,-0.2632695192084326,-0.2751752920823024,-0.2841378869021371,-0.2948064246070368,-0.3059667837305881,-0.3127932639277262,-0.3161944069206294,-0.323156413191246,-0.3314917189408639,-0.3368915845579564,-0.3414829106766582,-0.3503751461571934,-0.356217333766066,-0.3601387192597101,-0.366327839205006,-0.3762855997243586,-0.3854535678561701,-0.3931152182777236,-0.4035218418459504,-0.4115895040990089,-0.4218280989127003,-0.4323255630834063,-0.4397665258328203,-0.452034299238283,-0.4669928127044497,-0.4782967287795022,-0.4862569634203397,-0.4951755045737342,-0.5057549584360026,-0.5164993036144103,-0.5275689293648945,-0.5392603207537461,-0.5505833346160469,-0.5563699990261077,-0.5586593676973582,-0.562898154978719,-0.5701481567375365,-0.5833016433210173,-0.5986008043344335,-0.613553632708228,-0.6269179472429685,-0.6373689040299653,-0.6483839631251305
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0029419174842705,-0.0074358522616429,-0.0144819908329245,-0.0214973812509856,-0.0334882147714489,-0.0444665430276349,-0.0566462586980837,-0.069067678255478,-0.0747152210954549,-0.0823195709990352,-0.0940266941863619,-0.1046667326334633,-0.1178962007454239,-0.1300395571349333,-0.1364625317606672,-0.140630910976659,-0.1485434413239451,-0.1570468074873989,-0.1654091805017695,-0.1749802068252522,-0.1846550184296445,-0.1945113760888492,-0.2076817490235149,-0.2197372702194311,-0.2256679812709019,-0.2308764611041909,-0.2367762223532343,-0.2446222879895333,-0.251076925700583,-0.2547331278626736,-0.2566449134921252,-0.2593075824056704,-0.2598942578543323,-0.254946115953557,-0.2535769472502578,-0.2547963325217978,-0.261831009744551,-0.2724299700121113,-0.2824486955440035,-0.2955092633670678,-0.3114994004901482,-0.3251890847382957,-0.3330919261772008,-0.338167748736476,-0.3392920720798347,-0.3381528612827952,-0.3390340305605037,-0.343004831274641,-0.3460566158741248,-0.3474784582456549,-0.3498251268074867,-0.3495157943249041,-0.3459109968940115,-0.3429341550171385,-0.339695082197247,-0.3367813561966948,-0.334756469915518,-0.3320157520802677,-0.3259051205504426,-0.3176455830650388,-0.3124466502986522,-0.3054490036837728,-0.2927832864615797,-0.2796819636969353,-0.2633517367733159,-0.2483330475212466,-0.2344062071306307,-0.2146277838866987,-0.1897661031366017,-0.1662516999632275,-0.143189720495685,-0.1169090771869391,-0.0948919275735185,-0.075592884998426,-0.0586460714050096,-0.0431674293921458,-0.0246815951051324,-0.0076492530638693,0.0124306126372047,0.0333220122574381,0.0487821614747198,0.0647154010283863,0.0807094564947234,0.096852612844417,0.112029611352268,0.1294840650405591,0.1465976717309088,0.165244413389723,0.1873551905784352,0.2062505168646209,0.2247336583644622,0.240655668976837,0.2532015860681413
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0037756504899239,-0.0085680719010407,-0.0159496439696565,-0.0238807101385051,-0.0371524051000442,-0.0494235158521442,-0.0626012066702165,-0.0758974582601423,-0.0824026532805745,-0.0909384194789528,-0.1036662048478043,-0.1156352741834862,-0.1304297884677284,-0.1441784909577173,-0.1520289035931843,-0.1576391164868622,-0.1669914214192641,-0.1769236127595909,-0.1867155136095586,-0.1974534290333872,-0.2083537413349107,-0.2195996701959965,-0.2341718676812089,-0.2475082642221836,-0.2546994302300828,-0.2609565412312312,-0.2679670181952328,-0.2769328887230316,-0.284306662491173,-0.288887184063774,-0.2919882697199314,-0.2957960150861793,-0.2969593440387623,-0.2927462344054415,-0.2923136479455646,-0.2943172122702559,-0.3022432928654307,-0.313839508774239,-0.3250931682212246,-0.3391976867212347,-0.356153681179136,-0.3708023890146611,-0.3795614753605832,-0.3849814257542333,-0.3864528052176899,-0.385534498320233,-0.3866558472084487,-0.3907263109773838,-0.3941986743938638,-0.3955585814703076,-0.3977845134828932,-0.3978373328246505,-0.3941655167559552,-0.3900894809685052,-0.3859577745412973,-0.3810633198984788,-0.3750860537272671,-0.3673157671773542,-0.3569162090619593,-0.3435741694696291,-0.3341763423695228,-0.3239614006243524,-0.3079730083507286,-0.2895638034051936,-0.2683783185657861,-0.2482590150780642,-0.2275809448514238,-0.2005875234689478,-0.1709327319139731,-0.1423829571089332,-0.112902704028609,-0.0800693200009407,-0.0527200949552642,-0.028403030993512,-0.0065944946429885,0.0141776015299039,0.0375492305020875,0.0583746559836942,0.083229947773401,0.10720121492602,0.1249175573389616,0.1426951624464122,0.1610690468006472,0.180395234890226,0.2006581025229404,0.2239865893794803,0.2465150118246966,0.2691930255185613,0.2947855454001823,0.3180416672833634,0.341086129236194,0.3608448320006244,0.3773479926922046
PIG5,ssp245,CESM2-WACCM,WT,0.0,0.0003739401065978,-0.0015737403105189,-0.0059940439653473,-0.010438747606949,-0.0203765649963825,-0.029722706636985,-0.0405836719377857,-0.0517666885394961,-0.0563758133078234,-0.0629396749924023,-0.0737411375567064,-0.0835842357519117,-0.0960522440252654,-0.1072636984603276,-0.1129193627947613,-0.1164464506479079,-0.1236446086148453,-0.1315104682537802,-0.1390525515617796,-0.1476482186999006,-0.1564363690465534,-0.1654037700844696,-0.1777093278445727,-0.188825711167777,-0.1939842122917925,-0.1983487270382073,-0.2036722857710015,-0.2107971045130253,-0.2164402764591032,-0.2192208532569666,-0.2203865962438108,-0.2223740085849651,-0.2221568404154442,-0.2167061370442773,-0.2148935168106237,-0.2156635067653118,-0.2220820796674488,-0.2320689356605483,-0.2413846807020606,-0.2534868930607984,-0.2684441579635626,-0.2813082552943206,-0.2888722964396779,-0.2934398407286101,-0.2939756201255316,-0.2920257822236843,-0.2919866623562895,-0.294720997614263,-0.2971450102704703,-0.2978906801651725,-0.2997395604627206,-0.2995803138839696,-0.2962522782788979,-0.2931454123231548,-0.2901402503444626,-0.2884105640248553,-0.2884424441769529,-0.2868534370886218,-0.2812213918815979,-0.2727926389936204,-0.2670686823839595,-0.2588826400485919,-0.2456464193684734,-0.2321004260795575,-0.21489592084054,-0.1982269661489158,-0.1811084478604331,-0.1602817301215824,-0.1363382113622229,-0.112862358045771,-0.0897369554126051,-0.0630582770100625,-0.0421706898756908,-0.0244204073511304,-0.0093422306059649,0.0051712631907618,0.0229620807665457,0.0379859474725311,0.0565304120451999,0.0737301816908511,0.0849964804294858,0.0966907796646601,0.1076342798701886,0.1190719296321157,0.1298879979403734,0.144689803137586,0.1595580460876368,0.1753876648404195,0.1943069148820081,0.2105367540922714,0.2265984077024903,0.2411971813152832,0.2526599778213138
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0051838483019554,-0.0086501385581948,-0.0134665337164108,-0.0201711395095949,-0.0239720108653337,-0.0273393378281421,-0.0299370032704766,-0.0330436758077244,-0.0384481701875492,-0.0439876885311944,-0.0501801524819354,-0.056592267501137,-0.0658629011233468,-0.0717349862620996,-0.0769502297440407,-0.0870066657380451,-0.0951400932259811,-0.0979155360395156,-0.1003299428991147,-0.1059382399811285,-0.1113615359535422,-0.1159140554862223,-0.1239116843840596,-0.1327924021351684,-0.1400260668236373,-0.1462535002570554,-0.1507544256672165,-0.1558970406110266,-0.1626068482497444,-0.1702122935332401,-0.1782928133063694,-0.1843227063620516,-0.1928171241399294,-0.204451609709077,-0.2125205813735971,-0.2173911795610168,-0.2213687122513274,-0.2278842886417121,-0.2355622761719326,-0.2421295778352011,-0.2498385968728373,-0.2566024753717431,-0.2616722825077207,-0.2677841284554534,-0.272212259740609,-0.276708524697535,-0.282266126237767,-0.2893371053934916,-0.2954708694601224,-0.2999371943651004,-0.312261425876571,-0.325240011077854,-0.335318380199891,-0.3469629065948705,-0.3589677674360628,-0.3667385043811751,-0.3710527893742553,-0.3788333115818283,-0.3879818356171661,-0.3942202448471331,-0.3996355588767749,-0.4094612854158662,-0.4162599554666948,-0.4209978667101879,-0.4279663035868066,-0.4388562071184372,-0.4489922746113397,-0.4576424465344954,-0.4690319167746392,-0.4779864741945933,-0.4891294072522111,-0.5004578315214,-0.5086936497583118,-0.5217226179659482,-0.5375624293231432,-0.5498926431949954,-0.5587916489136575,-0.5686058805753527,-0.5800942880117324,-0.5917614057332392,-0.6036902035370084,-0.6160466201470818,-0.6281634968135187,-0.634757061134392,-0.637813874206715,-0.642721088935248,-0.6507106119382835,-0.6644281887863381,-0.6801973687787317,-0.6957021943701726,-0.7094500809337277,-0.720375475495297,-0.7318035034998401
