gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0036126233641907,-0.0047839746180577,-0.0064864495555694,-0.0079297971401947,-0.009282033270107,-0.0121719482343677,-0.0158625800010722,-0.0171541215923566,-0.0174722957339679,-0.0205298301437666,-0.0209701482501638,-0.0214288809399148,-0.0229333627248777,-0.0256996640937171,-0.0284797947588257,-0.0306083141559263,-0.0339665977352981,-0.0377298028802571,-0.0409046047724823,-0.0449580133015183,-0.0483579955321872,-0.0497036472086685,-0.0513807239281035,-0.0530590010493774,-0.0541743299275858,-0.0548265579183586,-0.0565672628504296,-0.0587999206103421,-0.0630239631579715,-0.0662604659384073,-0.066969015256109,-0.0696280833936728,-0.0733126328934764,-0.0803948844515652,-0.0863790583443021,-0.0875342625302832,-0.0887401111285615,-0.0920755422134485,-0.0953567620202663,-0.0975988425266912,-0.099539200950926,-0.1005558110859268,-0.1017853015687489,-0.1032127864094956,-0.1075202648892238,-0.1117767821989568,-0.1121834893052686,-0.111660128765552,-0.1103395431024305,-0.112428720614277,-0.1149794907909677,-0.115712000188788,-0.1181541368854228,-0.118885690175843,-0.1202673840644411,-0.120115134339212,-0.1184399833952986,-0.1196080502733857,-0.1243319193390964,-0.1288022808067788,-0.130540485395036,-0.1310552045509158,-0.1322956366276255,-0.1353599930385636,-0.138303474426232,-0.1403286696103272,-0.1432787432674094,-0.1480082852444482,-0.1497029325204103,-0.1505770582302119,-0.156686398671477,-0.1611707957302557,-0.1621612635561388,-0.1653644147556677,-0.1672316200011048,-0.1693403568871137,-0.173006768478448,-0.1750148729370671,-0.1762790006764095,-0.1757896670618743,-0.1745378225982101,-0.1761378719345543,-0.1791229774755335,-0.1792215960540212,-0.1763113950161818,-0.1738171172569438,-0.1728605017989139,-0.1716179959684377,-0.1724279561850947,-0.1745504419032844,-0.1746387068144071,-0.1738361783111288,-0.1731969179607682
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0066756959042068,-0.0078332089917255,-0.009563864126967,-0.0108993072539243,-0.0122427948084861,-0.0149762605556154,-0.0186870584334962,-0.020486298699507,-0.0217563053830453,-0.0245643325122354,-0.0253539991339939,-0.0263619773364893,-0.029127732136181,-0.0323630274701304,-0.0348658102990684,-0.0373695096800118,-0.042123829864848,-0.0468416482772645,-0.0496333714335391,-0.0539866922085386,-0.0584043389412229,-0.0616368127358062,-0.0641586581051232,-0.0659688960013593,-0.0662591253171944,-0.0670808687450754,-0.069584060068516,-0.0732499421048918,-0.0780404556754003,-0.0817231889805187,-0.0828273162059776,-0.0848128252134294,-0.0886924304306923,-0.0973119991103129,-0.1043880218392216,-0.1059878863851691,-0.1076837194896935,-0.1115778416651139,-0.1154000204547783,-0.1181134681365012,-0.1205667638658909,-0.1222653160042627,-0.1242204655470968,-0.1264355489654626,-0.1315586903947906,-0.1366038552643622,-0.1378194397849907,-0.1380985260564954,-0.1375627459098467,-0.1404871019657796,-0.1438069255061677,-0.1455593676411291,-0.1488849266120587,-0.1504460159740838,-0.1526860260120145,-0.1533506209214957,-0.1525886769421445,-0.15478393512562,-0.1605881090313156,-0.1660860649064007,-0.1688920863752671,-0.1704415918698592,-0.1727365908496288,-0.1768365067956579,-0.1808263539417036,-0.1838448283280518,-0.1877776891344209,-0.1935207790218072,-0.1961762846203207,-0.1980859208268555,-0.205352781882166,-0.2108909954463361,-0.2129775013628254,-0.2172640143944293,-0.2202234824715441,-0.2235418437486185,-0.2284032207585924,-0.2317221208442606,-0.2341888862710447,-0.2348456664222842,-0.2347371342861818,-0.2373840549907183,-0.2413322817261291,-0.2424370219738068,-0.2404817480080395,-0.2390974203149923,-0.2390845812546249,-0.2387934615000125,-0.2405010535176184,-0.2433839305579999,-0.2441350690144485,-0.2439086482074467,-0.2439256651214332
meanAnt,ssp245,CESM2-WACCM,WT,0.0,-0.0010866939748714,-0.0009082516472994,-0.0013004215369279,-0.0009949155726185,-0.0026576317947321,-0.004739374940318,-0.0081646386300916,-0.0087743041352539,-0.0079690406683912,-0.0089670860844527,-0.0094092379772808,-0.009411800213909,-0.0100807280894978,-0.0113930442961638,-0.0124660207472213,-0.0135967831834386,-0.0170760981735609,-0.0200462337004296,-0.021372228370502,-0.024021625335887,-0.0266148583713484,-0.0271233890871968,-0.0281676122268487,-0.0298249250312263,-0.0291189131860959,-0.0286038608228284,-0.0294058393591737,-0.030881816159376,-0.034542444686294,-0.0371149017550929,-0.0370487504178331,-0.037945785319307,-0.0416284973348054,-0.0487753198473829,-0.0541259137440689,-0.0545710053637346,-0.0552169725426472,-0.0578609672656572,-0.0603998705845336,-0.0617355126062996,-0.062783650334679,-0.0629851887996745,-0.0634212767864001,-0.064028929165306,-0.0675563950776435,-0.070964615153121,-0.0705135180053722,-0.0691208866237509,-0.0669690372628106,-0.0682095936264831,-0.0699892831112038,-0.0699752331477598,-0.0716690377071109,-0.0715796344325254,-0.0720635269096581,-0.0710097885626104,-0.0686555812840409,-0.0690163154023459,-0.0728628409678853,-0.0764307704564223,-0.0772778942123412,-0.0768047728958745,-0.0770688438027683,-0.0790733264190645,-0.0810963786991472,-0.081866542316448,-0.0835394486873758,-0.086898172489911,-0.0872203891678152,-0.0867453387295642,-0.0916610021717771,-0.0950143340295186,-0.0948383184199501,-0.0969384810281159,-0.0977247869158262,-0.0988337503472815,-0.1016934355564256,-0.1029301985667954,-0.103462767313458,-0.1022190847975623,-0.100228833603732,-0.1011358258886604,-0.1034027319663877,-0.1028374388277249,-0.0992427181930884,-0.0960699605264924,-0.094402314233257,-0.0925146503674101,-0.0927792935630942,-0.0942682877351665,-0.0935086182481218,-0.0918046425495678,-0.090295053513667
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0050872459330175,-0.0057746447062074,-0.0071747362219813,-0.0096442206154251,-0.0157389397752122,-0.0191967562161105,-0.0197212659911587,-0.0211692158103245,-0.02350598995707,-0.0252610640314582,-0.0273588315707086,-0.0292060122583518,-0.0306532553037125,-0.0341930641683979,-0.0406888357657196,-0.0449548886262748,-0.0474996832816241,-0.0506143279996162,-0.0541925249406251,-0.056473893181394,-0.0575212958622997,-0.0595774167261052,-0.0614646572949836,-0.0636183027545419,-0.0665723810865831,-0.0682982968296344,-0.0687648728611815,-0.0733993807983958,-0.0787087068797256,-0.082595308552748,-0.0842398510734068,-0.0835438282909116,-0.083365828298351,-0.0847768027139268,-0.0874961000717466,-0.0887324226246158,-0.0888443770549016,-0.0906844844918848,-0.0923982225670663,-0.0944633529892079,-0.0960547448426471,-0.0966691177641035,-0.0984508486997843,-0.0988766980641546,-0.099266545836381,-0.1018551701351045,-0.106106211887906,-0.1091480010037007,-0.1120832472865009,-0.1130400741831881,-0.1138227159229801,-0.1170678725616888,-0.1189078839581332,-0.1200319107934163,-0.121521110267635,-0.1256523504027829,-0.1298956262151054,-0.1313607099311907,-0.1338867470176742,-0.1350497562705599,-0.1362409448181711,-0.1416487097007007,-0.146245330354625,-0.1503051351494196,-0.1546771368247203,-0.156284030109208,-0.1604947875398287,-0.1663789543761699,-0.1695388468349767,-0.1706613806998604,-0.1719697202202101,-0.17475727668617,-0.1780598660688934,-0.1810069554905506,-0.1853642091626732,-0.1893989128405454,-0.1935897356896754,-0.1956631550476051,-0.1963125231195734,-0.1966571986714003,-0.2001700674514744,-0.2068150309017616,-0.2109652277003317,-0.2140979742927131,-0.2157501224429064,-0.2186947615009679,-0.2211396401980936,-0.2220979875680022,-0.22433752349094,-0.22533912897602,-0.226391363472117,-0.2292536150026436,-0.2316195010164053
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0081299268255259,-0.009117445658008,-0.0109061714874117,-0.013675568979663,-0.0190046602316057,-0.0241009556214993,-0.0255868741126449,-0.027651090816353,-0.0306294231135985,-0.0329735708877875,-0.0358238402510547,-0.0383622141913708,-0.040557550865176,-0.0449976370782363,-0.0521033558944792,-0.0569484054293481,-0.0602120590275566,-0.0641255289304177,-0.0684016195569219,-0.0714537550388244,-0.0734358415356356,-0.0763210702192416,-0.078888969151,-0.0815011411049058,-0.0851439395049781,-0.0885966878258904,-0.0911601295504435,-0.0949946108056313,-0.1007394887895235,-0.1053157737023922,-0.1074390777696361,-0.1074964793755057,-0.1081779982675602,-0.1105036067044548,-0.1141814829141511,-0.1164495229784076,-0.1191324561149949,-0.1229719559670939,-0.1256239224116585,-0.1284625675674157,-0.1307591208635198,-0.1322512586402447,-0.1351330040715213,-0.1366025572742661,-0.1378568433587374,-0.1407007047149393,-0.1465521255535559,-0.1513598200644554,-0.1558303147531317,-0.158471574660668,-0.1609375285918976,-0.1655481394105666,-0.1685783688504918,-0.1708630058120589,-0.1734447411102818,-0.1787580332664603,-0.1857342394936012,-0.189047179555415,-0.1925517455803891,-0.1945684500712214,-0.196653723114938,-0.2029396210852939,-0.2084698495827804,-0.2137872243307358,-0.2194618714608297,-0.2225026332854337,-0.2282788603761982,-0.2358370931907434,-0.2407342412707356,-0.2437446002294031,-0.2487166309176021,-0.2542749350642447,-0.2594132097953328,-0.2641796552960629,-0.2703792833076329,-0.2763151448901967,-0.2823606974352438,-0.2862496511332001,-0.2887316331341504,-0.2907550151449109,-0.295984743699975,-0.3043102498478243,-0.3101230945725208,-0.3149565929777649,-0.3183507047902357,-0.3230377743807503,-0.3272532867562299,-0.3300575449911322,-0.3340524023168684,-0.3368292812010418,-0.3395611413206508,-0.3440603497037567,-0.3480091217151707
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,-0.0025689282550838,-0.0017952153047918,-0.0017102748474633,-0.0025740174134904,-0.0053026979441802,-0.0073753620399201,-0.0068067288742134,-0.0072845663722132,-0.0104125570682856,-0.0117897441375379,-0.0133325699583869,-0.0142902010817969,-0.0148024367790407,-0.0171768322441134,-0.0206781791010329,-0.0234229202819816,-0.0250698729054358,-0.0272342918026869,-0.0297943353465604,-0.0311066997967129,-0.0313145044664837,-0.0339249131400915,-0.0358150722134405,-0.0369045756693297,-0.0386561560532025,-0.0392366809045831,-0.0383368561622995,-0.0401521168741104,-0.0442814591773238,-0.0472702051378758,-0.0479025448293738,-0.0463997396911505,-0.0454824027710711,-0.0460873249471207,-0.0480717935611347,-0.0503030280207228,-0.0504889367935435,-0.0515298390386347,-0.0523138341375924,-0.0535360379812855,-0.0541870763031837,-0.0539596197349384,-0.0548627476960456,-0.0544728620625949,-0.0538269823786692,-0.0544983291106178,-0.0563885656327919,-0.0585882972050106,-0.0608978109684419,-0.0614930376557143,-0.061800090580762,-0.0644645369814375,-0.0657776778958777,-0.0681251491906693,-0.0694340617819731,-0.0726590379459746,-0.0759207887167368,-0.0762741839380589,-0.0776663577750249,-0.0776759801535332,-0.0777314086479708,-0.0820336260180643,-0.0855176311337281,-0.0884966991530481,-0.0917817826813056,-0.0923793964202673,-0.0954258086322684,-0.1001859654363944,-0.1022217520257168,-0.1023504304541773,-0.1028182812468878,-0.1047057865623628,-0.1071941064858498,-0.109419706186056,-0.1130980085076371,-0.1164461869307951,-0.1199442355797158,-0.1214080234277562,-0.1215215450055249,-0.1213457834187089,-0.1242705706138489,-0.1303989241607384,-0.1340397223379747,-0.1366452936416585,-0.1378282847532966,-0.1402318942984882,-0.1421726796716812,-0.1426648120024364,-0.1444480963422878,-0.1450545439553008,-0.1456054481454739,-0.1479519706769279,-0.1497762354456671
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0036126233641907,-0.0047669547289019,-0.0064778551962648,-0.0075678726854179,-0.0092267533010247,-0.012220547749153,-0.0162767383266425,-0.0169609523707242,-0.0164359606319581,-0.0173355358563647,-0.0166770742167726,-0.0164398758949331,-0.016973196632782,-0.0181203067115149,-0.0190193697730108,-0.0194945965867536,-0.0211177692146753,-0.0235473242616557,-0.0247590406381264,-0.0274555022478933,-0.0294684451096514,-0.0292691875034872,-0.0295654279566718,-0.0293868076541299,-0.0278416534227756,-0.026725087216425,-0.0266334312882172,-0.0263806191807557,-0.0283894153171763,-0.0287758542613105,-0.0266430033147108,-0.0249560318227848,-0.0245802736771041,-0.0279613562292821,-0.0293786239824847,-0.0258071259877797,-0.0225294900452195,-0.0211183807662397,-0.0194707863742462,-0.0163335643159034,-0.0124908055840246,-0.0075597406342786,-0.0027441338615775,0.0021345717280742,0.0040353879656507,0.0057345288742918,0.0112829700916562,0.0179125014926676,0.0251540174452472,0.0288557200038816,0.0319951405297635,0.0368616266984977,0.0402252779083402,0.0456278495822702,0.0498961955756394,0.0557168351444125,0.0628229004782373,0.0671905437495285,0.0678345739877783,0.0685405489371855,0.0718271929553278,0.0763604337487556,0.0802414816557191,0.0822301361543588,0.0843304446371712,0.0875480301341064,0.0898443294784167,0.090130955886514,0.0932440334600275,0.0972628615361975,0.0959055835695481,0.0963573339886009,0.0997720432763036,0.1008320012114049,0.1030018480463498,0.1047092779298459,0.1047266429649263,0.1063618031767019,0.1087313900362055,0.1127432125130362,0.1175740236123062,0.1192448682388694,0.1196642090210837,0.1229278327840452,0.1292532926182984,0.1347793240515423,0.1387343720517761,0.1430494103255131,0.145673534654666,0.1470487294475656,0.1505259606218157,0.1551787352601,0.1598618316670061
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0066756959042068,-0.0076831860347075,-0.0094943948475276,-0.0105735180896724,-0.0122531397535843,-0.0154292372127766,-0.019868264344751,-0.0207925354477209,-0.0206591756020655,-0.0217834807448447,-0.0214662997593185,-0.0214714300356952,-0.0223851777224432,-0.0239912622400997,-0.0253235832997369,-0.0261250461326157,-0.028214673717135,-0.031024902504343,-0.0326496859953964,-0.0356712550617839,-0.0380323487206578,-0.038139926085762,-0.0387094251577152,-0.0387457688364801,-0.0375308728671492,-0.0368660489252559,-0.0372676191032804,-0.0376296827375875,-0.040252475945581,-0.0411096047671256,-0.0391949031448633,-0.0380161471007461,-0.0386397758671197,-0.0431494975624349,-0.0456399502980167,-0.0430525489913757,-0.0403635778685289,-0.0397171856592721,-0.0386700476029673,-0.0360084811379507,-0.0327452763668723,-0.0283764491857478,-0.0239263334322832,-0.0192399270856183,-0.0174783908122484,-0.0158194942815912,-0.0105099015668565,-0.0039900923361466,0.0034124647597932,0.0071495321020424,0.0102014133545515,0.0151593770371758,0.0185484716035898,0.0238591476484657,0.0280745368821026,0.0338220702472968,0.0408179775727303,0.0450979541098443,0.0460176667890104,0.0469263484295046,0.0504256724590417,0.0552342247601355,0.0597094071275513,0.0624275159226631,0.0651531698384628,0.0689591993878084,0.0720291302589196,0.0730432818273514,0.0768980720064243,0.0817163671420378,0.0811114625534907,0.0823535729211927,0.0864940863304138,0.088326719860082,0.0912798605064808,0.0937454223348057,0.094546618921604,0.0969709362988843,0.0999841862476944,0.1046359347162435,0.1102572642467347,0.1127332195110402,0.1139275874019431,0.1181387193196393,0.125432376454393,0.1316623749940371,0.1361170104335824,0.1406753503716794,0.1434659556563018,0.1449828908456198,0.1486584123286378,0.153437742077213,0.1580272652266354
PIG5,ssp245,CESM2-WACCM,WT,0.0,-0.0010866939748714,-0.000766446043608,-0.0010251262546669,-0.0008243749917995,-0.0018619455824525,-0.0043598427198706,-0.0078693557709013,-0.0076984208419322,-0.00595377296955,-0.0056179029306876,-0.0037241890193377,-0.0024358885930513,-0.0021882309196383,-0.002265094640458,-0.0020758297896707,-0.0014115683685446,-0.0019887570334188,-0.0033005216400008,-0.0032884787988787,-0.0045913116891836,-0.0054769379675514,-0.0040842892108427,-0.0031112881987314,-0.0016349800050418,0.0010863530358601,0.0032625753083272,0.0045208149844056,0.0062156360502166,0.0056402811526565,0.0067893372839363,0.010609090119395,0.0138946025148125,0.0157018638290655,0.0137179517389064,0.0138109712208033,0.0189034525894593,0.0237353807147458,0.026470542692281,0.0291882051961167,0.0329565150905667,0.0368815709059123,0.0417891617288096,0.0468273673526849,0.0520244016281738,0.0543015843985367,0.0562103549834034,0.0618748850339948,0.0686333969181287,0.0760032493305781,0.0793938656883905,0.0822583530931972,0.0870571692674183,0.0901949620090906,0.0952859610304706,0.0995070033237711,0.1053982588401853,0.1126290617608262,0.1167783050157703,0.117367176197435,0.1182534590174938,0.1218591107772154,0.12680836680889,0.131109599466718,0.1335314574453682,0.1358486492041466,0.1392057736915392,0.1414921036509977,0.1417367498731943,0.1448436455057865,0.1489528907518696,0.147763187703025,0.1484614117450549,0.1522874199504435,0.1538891135531351,0.1566502409686037,0.1589947585041157,0.1596683150260672,0.1619809744811859,0.1650362164272864,0.1698815787200736,0.1758150191422306,0.178777328433201,0.1804382476268208,0.1844424760335702,0.1914553981120702,0.1977211988006121,0.2027112398743883,0.2078830649098939,0.2120075639105453,0.2141461678374869,0.2184624956862993,0.2243310991234839,0.229118757725225
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0050872459330175,-0.0057656374396116,-0.0070372393664206,-0.0092402889176399,-0.01512753169444,-0.0186921905290035,-0.0192824355243886,-0.0207263249694317,-0.0229833016547367,-0.0246469446184057,-0.0266536486508904,-0.0284559068600443,-0.0299948943840773,-0.0334486843530835,-0.0380968463514985,-0.0428046555639973,-0.0468796247620518,-0.0501986157964104,-0.0535354950010524,-0.0556414597478049,-0.0565486033711217,-0.058406520595529,-0.0600820397860812,-0.0618062630954593,-0.0643544636897494,-0.0658435658116474,-0.066104323726199,-0.0708015736211617,-0.076353609816693,-0.0801490518653102,-0.0812101360692703,-0.0796378729551447,-0.0788716031577882,-0.0798670591161286,-0.0821231366071804,-0.0828485694444456,-0.0826014061273124,-0.0842265851421029,-0.0855189901456133,-0.0870271482381003,-0.0884480199806248,-0.0886299884902365,-0.0902550557697912,-0.0905899716703439,-0.0906758979984743,-0.0919371434754426,-0.094300297554973,-0.0971069147107407,-0.0998682523943578,-0.1005436323593077,-0.1011011250692194,-0.1039996256509179,-0.1054821500313955,-0.1059718837527112,-0.1068195633222751,-0.1101184462569409,-0.1131191310559812,-0.1133847357124838,-0.1146923354533108,-0.1133331138427595,-0.1111011095680122,-0.1133636494050758,-0.1138821076499817,-0.1126502394502771,-0.1122725066888082,-0.1083063628734979,-0.1074983821720759,-0.1086667940852216,-0.1071476026899513,-0.1034351222514576,-0.099509192160573,-0.0966888013929714,-0.0945145408854292,-0.0918490934509051,-0.0906931109742205,-0.0894948113154803,-0.0884498988287841,-0.0852357907654197,-0.0808662402542998,-0.0762611443005716,-0.0749393120208375,-0.0766544834005011,-0.076020341399811,-0.0745133659745091,-0.0715486325845108,-0.0698931251459389,-0.0678385625057348,-0.064228002401855,-0.0620661798407088,-0.0583050914276093,-0.0544162906242299,-0.0527124519870667,-0.0506977745427015
