Year,overshoot_CESM2-WACCM_J300_MA,overshoot_CESM2-WACCM_J50_MA,overshoot_CESM2-WACCM_WT_MA,overshoot_UKESM1-0-LL_J300_MA,overshoot_UKESM1-0-LL_J50_MA,overshoot_UKESM1-0-LL_WT_MA,overshoot_CESM2-WACCM_J300_PIGL5th,overshoot_CESM2-WACCM_J50_PIGL5th,overshoot_CESM2-WACCM_WT_PIGL5th,overshoot_UKESM1-0-LL_J300_PIGL5th,overshoot_UKESM1-0-LL_J50_PIGL5th,overshoot_UKESM1-0-LL_WT_PIGL5th
2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,-0.0026787516474435,-0.0045015041363516,-0.0027005522086553,-0.0001169250527578,-0.0019291298722865,-0.0001285548452681,-0.0026787516474435,-0.0045015041363516,-0.0027005522086553,-0.0001169250527578,-0.0019291298722865,-0.0001285548452681
2009.0,-0.0065720393299383,-0.009622440718187,-0.0083453012841727,-0.0008713567762618,-0.0031646983661726,-0.0019370061178982,-0.0076646344272703,-0.0113711312978995,-0.0066547870333112,0.000352003016103,-0.0011204477136687,-0.0001810093021579
2010.0,-0.012393128141,-0.0170940058958985,-0.0132389660085397,-0.0017087975383767,-0.0050677690289334,-0.0047226937839375,-0.0111716646292218,-0.0169491579164577,-0.0077767196510491,0.0012507761008987,0.0002860572764842,-0.0001193857537616
2011.0,-0.012246616128343,-0.0174305917271718,-0.0111354250209571,-0.0018359382274054,-0.0062256228230769,-0.0060152199319928,-0.0116506458619256,-0.0188553084539396,-0.0045872950826681,0.0029626044146858,0.0016455198172092,0.0010380427870577
2012.0,-0.009951416322702,-0.0171205529625055,-0.0078729913127202,-0.0027244873170594,-0.0082193696659717,-0.0080033532616695,-0.0134620601303033,-0.022370375032466,-0.0040395466294237,0.0044434675907033,-0.0006831151812884,0.0012586893071628
2013.0,-0.0089533691534548,-0.019176776422171,-0.0064484447903607,-0.0057841977015094,-0.0119488991761876,-0.0114159818157726,-0.0202358274315145,-0.03074705446989,-0.0084344066143324,0.0034029916453983,-0.0060176561766632,-0.0002321047109592
2014.0,-0.008170143769882,-0.0200698630190225,-0.0043253734570304,-0.0097010682542767,-0.01670842536384,-0.0156897801915837,-0.0264480443718318,-0.0385238402337455,-0.0123873650595366,0.000690258238203,-0.0129677087879863,-0.0033033852840606
2015.0,-0.0085991242855777,-0.0225188149034188,-0.0028959768883447,-0.0144634122558486,-0.0224601314724745,-0.0208138083086607,-0.0277533667178521,-0.0415136140412879,-0.0116970305314719,-0.0030992476917382,-0.0208876217560846,-0.0072587368558023
2016.0,-0.0091977256295942,-0.025438749910463,-0.0015396836618514,-0.0165074613297576,-0.0256261354883292,-0.0230897920075604,-0.0249681390258365,-0.0404791081531659,-0.0073376681333327,-0.0042592479428773,-0.0259761752973965,-0.0083015565141787
2017.0,-0.0118100102354754,-0.0307506577706333,-0.0027248013994016,-0.0154917106299328,-0.0258987971180509,-0.0222191897784056,-0.0281635777227318,-0.0455899279939551,-0.0090598337942701,-0.0025228250666528,-0.028295987232415,-0.0060948717383603
2018.0,-0.0206149766327874,-0.0420218368601894,-0.0099410007398299,-0.0157530568717503,-0.0272234763590088,-0.0224834169990687,-0.0410144705706188,-0.0603588206154223,-0.0201688071380225,-0.0023109308814087,-0.0320543967507266,-0.005238049531535
2019.0,-0.0292162176888136,-0.0532168112004555,-0.0166635219658749,-0.0192834605516432,-0.0321309692027705,-0.0261516027793875,-0.0486964881551797,-0.070082288026251,-0.0263781280629903,-0.0054061591032173,-0.0392382228354071,-0.0078527066897413
2020.0,-0.0331911093999647,-0.0595942556900734,-0.0187901260318713,-0.0260672710970497,-0.0402592582525156,-0.0331538086431529,-0.047591265099576,-0.0711852976337671,-0.0238933285061193,-0.0118123719360579,-0.0496569307834626,-0.0137196118213864
2021.0,-0.0341590998374447,-0.0628589734043532,-0.0179253865475207,-0.0311353470809112,-0.0469469323639085,-0.0384418118510744,-0.039326165121172,-0.0651012270433382,-0.0143967452067063,-0.0165243180231935,-0.0583143647601821,-0.0178870728224454
2022.0,-0.0385450823209953,-0.0697790446028595,-0.0208955376383731,-0.0376589808718713,-0.0553841543224647,-0.0451506202732139,-0.0381400422995268,-0.0663234945276615,-0.0119971531673861,-0.0227316219989732,-0.0684646337461655,-0.023487387799085
2023.0,-0.0434232849878971,-0.0770949623034593,-0.0245147138106465,-0.0411692885628895,-0.0602974022828032,-0.04869366525692,-0.0393844702493522,-0.0698560641719204,-0.0119457682440944,-0.0265735745764875,-0.0752140842551353,-0.025886038210962
2024.0,-0.0459704985612417,-0.0821829546592632,-0.0258151572816023,-0.041927442213511,-0.0625359313926971,-0.0494123379454447,-0.0383590471954302,-0.0714310647256133,-0.0096454484335157,-0.0280587690015745,-0.079411224710989,-0.0256020907177114
2025.0,-0.0499795408253682,-0.0886235692554963,-0.0285178624339116,-0.0461396848596596,-0.0682722580478064,-0.0534036530975143,-0.0375926006655311,-0.0732012550346148,-0.0076277747725152,-0.0329285728395678,-0.086881068183397,-0.0288060370358015
2026.0,-0.056241098770946,-0.0974950754821727,-0.0337495161090482,-0.0503387260404451,-0.0742550404216815,-0.05753639301763,-0.0397399262666346,-0.0778824828909356,-0.0085379646092227,-0.0373085328833905,-0.0928116456010218,-0.0312151603601537
2027.0,-0.0621025188930547,-0.1059881810722344,-0.0385805752910423,-0.053264121938115,-0.0789829730962857,-0.0606040983280754,-0.040993495786561,-0.0814857327969232,-0.0087197393393716,-0.0401503770174968,-0.0967344017569168,-0.0320311376408397
2028.0,-0.0647564823485985,-0.1111029073039264,-0.0401997318045771,-0.0567090484916803,-0.0842819641281086,-0.064126926286507,-0.0391702685855029,-0.0816238598765629,-0.0058929670791,-0.0437713067596119,-0.1017097141442454,-0.0337486135883028
2029.0,-0.0701361380560012,-0.1190911606988783,-0.044686709387521,-0.0632261454690343,-0.0927248444771793,-0.07067915420503,-0.0402374263975818,-0.0848550763568687,-0.0059626706011642,-0.0507642882636625,-0.1101214930442684,-0.0385512227006651
2030.0,-0.0795809919159692,-0.1309231388409634,-0.053288823976063,-0.0692061701113039,-0.100628090027489,-0.0768222167164345,-0.0487515242059551,-0.095682671939455,-0.0134481493600901,-0.0571732022108149,-0.1181494777801588,-0.042973911186927
2031.0,-0.0861673276738875,-0.1399034855888296,-0.0590989953487275,-0.0716575957170385,-0.1050538106318876,-0.0794406001537204,-0.0512079492225816,-0.1006013893667239,-0.0146873603522753,-0.060249354527304,-0.1227269869823146,-0.0441135693042335
2032.0,-0.0924372636228408,-0.1487987562574092,-0.0645501783208989,-0.0754056928890183,-0.1102998408104943,-0.0830868604844938,-0.0530035464707876,-0.1046895610229579,-0.0152029872353242,-0.0634240543031538,-0.127243205119384,-0.0451343055887758
2033.0,-0.0951805523018544,-0.15398421735428,-0.0663551738265424,-0.0840013261622927,-0.1208154939770029,-0.0912484103302489,-0.0481022683936459,-0.1018856969381231,-0.0090893358515743,-0.071262035913073,-0.1366448817039916,-0.0510825188855024
2034.0,-0.0986568308561231,-0.159804608895695,-0.0688025902061312,-0.0946073496910516,-0.133555240707215,-0.1012790815287089,-0.047651206905165,-0.1037342796380515,-0.0073799902918469,-0.081145884047049,-0.1486256820741085,-0.0596874196890182
2035.0,-0.1042635011957539,-0.1677793985907088,-0.0735314256782997,-0.1047427316630472,-0.1460061387587067,-0.1107991612199007,-0.0516759808286274,-0.1098124248730222,-0.0103051834237891,-0.0906808153881086,-0.1603144977203189,-0.0676518363182351
2036.0,-0.111684455524308,-0.1775776997342494,-0.0800214449416824,-0.1117425175235744,-0.155408748939947,-0.1170985586581498,-0.0556425226957053,-0.1157665896946446,-0.013295108885261,-0.0976624155554223,-0.1692939018553126,-0.0728332366620237
